date,emaxis-sp_start_100,fang_start_100
2023-09-11,100.0,100.0
2023-09-12,100.50526676372355,101.88872921371382
2023-09-13,100.34255373811767,100.73906795319236
2023-09-14,100.36396334675001,101.0162184356395
2023-09-15,101.54577374325598,101.56538698419214
2023-09-19,100.46244754645886,99.3250872510778
2023-09-20,100.31686220775885,99.23013754875795
2023-09-21,99.77734007022352,97.60316156846643
2023-09-22,97.64066112871457,94.75467049887087
2023-09-25,97.96180525819989,95.24738246766577
2023-09-26,98.65975849961463,96.29696160952577
2023-09-27,97.29382546887044,94.65715458838021
2023-09-28,97.68776226770575,95.03695339765962
2023-09-29,98.22728440524108,96.10962841305687
2023-10-02,98.10310867517342,96.53048655306918
2023-10-03,98.1930290314293,97.94190104701293
2023-10-04,96.45456881048214,95.59125436255388
2023-10-05,96.9598355742057,97.05912543625539
2023-10-06,96.77143101824099,96.84099774173681
2023-10-10,98.44566241329107,99.68435639499076
2023-10-11,98.99803031600582,99.8870868404845
2023-10-12,99.82872313094117,101.28053787723259
2023-10-13,99.66601010533527,101.45504003284746
2023-10-16,98.9423653335617,99.18394580168344
2023-10-17,99.98287231309412,100.77499486758366
2023-10-18,100.14986726042648,99.93584479572984
2023-10-19,98.82247152522052,97.77509751591049
2023-10-20,98.04316177100283,97.99322521042907
2023-10-23,96.76714909651452,96.10706220488606
2023-10-24,96.52307955810568,97.11814822418394
2023-10-25,97.37518198167338,98.47053993019914
2023-10-26,96.16339813308213,95.3320673373024
2023-10-27,95.08863577973796,92.85567645247383
2023-10-30,94.30932602552026,93.76668035311025
2023-10-31,95.22137535325854,94.77263395606653
2023-11-01,97.10113899117924,96.16608499281462
2023-11-02,97.57215038109103,97.69811127078628
2023-11-06,99.73023893123234,99.99486758365839
2023-11-07,100.19696839941766,100.57226442208993
2023-11-08,100.86066626702063,102.90751385752412
2023-11-09,101.24175730067655,103.66967768425374
2023-11-10,100.67226171105592,103.04865530691849
2023-11-13,102.44497730581486,106.03828782590843
2023-11-14,102.40644001027661,105.90741120919729
2023-11-15,103.60966001541492,107.59340997741738
2023-11-16,104.26479403956496,108.09895298706631
2023-11-17,104.01216065770318,107.76791213303223
2023-11-20,103.58396848505609,107.29316362143297
2023-11-21,103.12580286032372,107.67296243071239
2023-11-22,103.04016442579429,107.35475261753234
2023-11-24,104.35043247409436,108.48645042085813
2023-11-27,104.33758670891496,108.15797577499487
2023-11-28,103.18146784276783,106.8492096078834
2023-11-29,102.44069538408837,106.60798603982755
2023-11-30,102.44925922754132,106.18712789981524
2023-12-01,103.42981930290314,106.47967563128722
2023-12-04,103.00162713025607,104.98870868404846
2023-12-05,102.97165367817075,104.144426195853
2023-12-06,102.9973452085296,104.88349414904536
2023-12-07,102.53489766207073,103.75692876206118
2023-12-08,100.61231480688532,102.96910285362348
2023-12-11,102.54346150552367,105.52504619174708
2023-12-12,103.28423396420314,106.09987682200781
2023-12-13,103.58396848505609,107.16485321289262
2023-12-14,102.73614798321486,106.09731061383701
2023-12-15,103.03588250406783,106.35649763908847
2023-12-18,102.80894065256487,106.91849722849518
2023-12-19,103.63535154577374,108.78156436050092
2023-12-20,105.2282264280209,110.40597413262164
2023-12-21,103.29707972938256,108.32477930609731
2023-12-22,103.53258542433845,108.84571956477109
2023-12-25,103.61394193714139,108.41203038390475
2023-12-26,103.65247923267961,108.44539109012523
2023-12-27,104.47032628243555,109.49240402381442
2023-12-28,103.93080414490024,108.95350030794498
2023-12-29,103.96934144043848,108.7353726134264
2024-01-04,103.42553738117668,105.33258057893657
2024-01-05,104.23053866575319,105.94333812358857
2024-01-09,105.12974222831207,108.66608499281463
2024-01-10,105.50226941851504,109.49753644015603
2024-01-11,106.80825554508864,111.32467665777048
2024-01-12,106.49567525905626,111.3683021966742
2024-01-15,106.46998372869744,110.97053993019914
2024-01-16,107.01378778795925,111.5222746869226
2024-01-17,107.73315063800635,112.3460275097516
2024-01-18,107.72886871627986,112.32036542804353
2024-01-19,108.62807227883874,113.77283925272017
2024-01-22,109.98115954440352,116.25179634571955
2024-01-23,110.18240986554765,116.52381441182509
2024-01-24,110.52068168193885,117.60675425990557
2024-01-25,110.38366018669178,119.45955655922809
2024-01-26,110.8503896548771,118.96684459043318
2024-01-29,111.18866147126832,119.07205912543625
2024-01-30,111.37278410550655,120.32180250461917
2024-01-31,111.44129485313007,119.38000410593308
2024-02-01,109.12905712083582,115.42291110654897
2024-02-02,110.2209471610859,116.91901047012934
2024-02-05,113.13265393508607,124.47905974132622
2024-02-06,112.71730752761839,124.20447546704989
2024-02-07,112.37475378950073,122.8931430917676
2024-02-08,113.5094630470155,125.30537877232601
2024-02-09,114.6398903828038,126.81687538493122
2024-02-13,115.09377408580971,127.88955040032847
2024-02-14,114.51143273100968,127.1402176144529
2024-02-15,115.47914704119209,129.52422500513242
2024-02-16,116.00154149182154,129.60890987476904
2024-02-19,115.27789672004796,128.11024430301785
2024-02-20,115.54765778881561,128.41049065900225
2024-02-21,114.69127344352145,125.94693081502773
2024-02-22,115.13659330307442,125.76216382672962
2024-02-26,117.46595872227456,131.1742968589612
2024-02-27,117.26042647940396,131.35136522274686
2024-02-28,117.33750107048041,131.7901868199548
2024-02-29,117.28611800976279,130.97669882980907
2024-03-01,117.6372355913334,129.67306507903922
2024-03-04,118.40369958037166,131.93646068569083
2024-03-05,118.53643915389227,130.9125436255389
2024-03-06,117.04633039308041,127.60213508519811
2024-03-07,116.84508007193628,127.1453500307945
2024-03-08,117.14481459278925,129.27273660439334
2024-03-11,115.56906739744797,125.42855676452473
2024-03-12,115.45773743255974,124.18137959351263
2024-03-13,117.29468185321572,127.47382467665777
2024-03-14,117.19619765350689,126.61927735577909
2024-03-15,117.6072621392481,127.06066516115789
2024-03-18,117.41885758328338,126.09577088893451
2024-03-19,118.12965658987753,128.1949291726545
2024-03-21,121.07990065941594,132.28546499692055
2024-03-22,122.11612571722188,132.71402176144528
2024-03-25,121.82067311809539,133.48131800451654
2024-03-26,121.3667894150895,133.0604598645042
