date,orcan_start_100,invesco_start_100
2023-09-11,100.0,100.0
2023-09-12,100.51774779708269,100.3847
2023-09-13,100.52272614128542,100.362716754547
2023-09-14,100.48289938766366,100.04396576976171
2023-09-15,101.58311345646437,101.03319450065517
2023-09-19,100.81147010504306,100.31875140005909
2023-09-20,100.60735799273162,100.29676855206479
2023-09-21,100.33852740578484,100.38469973202207
2023-09-22,98.36212475730572,98.58210573279212
2023-09-25,98.82511076815851,99.02176319376026
2023-09-26,99.05411460148355,98.75350234487442
2023-09-27,97.91407377906108,97.70281445667612
2023-09-28,98.1928610544133,97.89283275240035
2023-09-29,98.63593368845522,98.6081944170218
2023-10-02,98.73052222830687,99.05529580349193
2023-10-03,98.30736297107582,98.00460736592765
2023-10-04,96.54502912331358,96.41739726843853
2023-10-05,96.83875143127396,96.51799532405254
2023-10-06,96.81385971026036,96.61859313503892
2023-10-10,98.2476228406432,97.55750556991916
2023-10-11,99.14870314133519,98.64172651727134
2023-10-12,100.05974013043262,99.2900236179572
2023-10-13,99.87554139493204,98.97705252741127
2023-10-16,98.92965599641559,98.30640084558443
2023-10-17,99.73116941305322,99.03294019941778
2023-10-18,99.93528152536466,99.39062143085363
2023-10-19,98.65584706526609,98.28404600809108
2023-10-20,97.83939861602032,97.57986145809276
2023-10-23,96.65455269577339,96.49564088364714
2023-10-24,96.47533230447553,96.5070157897945
2023-10-25,97.0976253298153,96.67764308892133
2023-10-26,96.16169661970429,96.18851028792439
2023-10-27,95.40000995668841,95.60837622090564
2023-10-30,94.71797680091602,94.67561134165688
2023-10-31,95.424901677702,95.22161979360591
2023-11-01,97.07273360880171,96.99614799910698
2023-11-02,97.48593617762732,97.2464019407906
2023-11-06,99.81580126449943,99.70344022933084
2023-11-07,100.24891721013591,99.72619056032235
2023-11-08,100.57250958331258,100.01056976532416
2023-11-09,100.9558420869219,100.1925730006059
2023-11-10,100.69198984417783,100.85233307840906
2023-11-13,101.66276696370787,101.36421615461184
2023-11-14,101.88679245283019,101.7168470579813
2023-11-15,103.21103201075323,103.7302537235218
2023-11-16,104.07726390202619,104.68576910490617
2023-11-17,103.68895305421417,103.84400549154127
2023-11-20,103.41016577886195,103.95775725359677
2023-11-21,102.96709314482004,103.30937168202851
2023-11-22,102.91730970279285,103.08186791608523
2023-11-24,104.14198237666153,104.61751664272228
2023-11-27,104.09219893463435,104.79097353149109
2023-11-28,103.01687658684722,103.65772307524186
2023-11-29,102.39956190571016,103.12578895720002
2023-11-30,102.49912878976453,103.61146811035708
2023-12-01,103.35042564842934,104.64064496755599
2023-12-04,102.88743963757653,104.22434890405574
2023-12-05,102.86752626076567,104.59439015913516
2023-12-06,102.86752626076567,104.23591275979886
2023-12-07,102.55886892019714,104.32842317473232
2023-12-08,100.38831084781201,101.90002889241106
2023-12-11,102.27012495643947,104.0162010584238
2023-12-12,102.8725046049684,105.21883429473726
2023-12-13,103.06168168467167,105.35760004997019
2023-12-14,102.03614277891174,104.24747757194766
2023-12-15,102.79782944192762,105.87797066965948
2023-12-18,102.50410713396725,105.33447257671943
2023-12-19,103.1512918803206,105.94735277864929
2023-12-20,104.72942699258228,107.57784545633922
2023-12-21,103.25583710857768,106.24801116194614
2023-12-22,103.29566386219943,106.24801116194614
2023-12-25,103.30064220640216,106.39834041045906
2023-12-26,103.39025240205109,106.504139728213
2023-12-27,104.19674416289142,107.2799978901809
2023-12-28,103.9727186737691,107.35053019759377
2023-12-29,104.04241549260715,107.04488928255229
2024-01-04,103.33051227161847,105.64599348549224
2024-01-05,104.40583461940558,106.84504698713435
2024-01-09,104.77423209040673,106.51589479313341
2024-01-10,105.09782446358342,106.60993767664625
2024-01-11,106.23288694180314,107.44457301942482
2024-01-12,105.95409966645093,106.92733484490931
2024-01-15,106.06362323891074,107.24473153002285
2024-01-16,106.36730223527655,107.37404079261788
2024-01-17,106.765569771494,107.7149480034324
2024-01-18,106.47184746353362,107.39755190619704
2024-01-19,107.21362074973864,108.07936633844908
2024-01-22,108.3237915069448,108.81995749961636
2024-01-23,108.48309852143177,109.27841924516098
2024-01-24,108.67725394533778,109.48153941414876
2024-01-25,108.85149599243292,109.29036822410075
2024-01-26,109.10539154677154,109.44569497413188
2024-01-29,109.6928361626923,110.62856872301498
2024-01-30,109.79240304674664,110.4254491394111
2024-01-31,109.8322298003684,110.56882775108268
2024-02-01,108.0250908547817,109.01555907021203
2024-02-02,108.77184248518942,109.36205739362757
2024-02-05,110.98720565539901,110.67636185041958
2024-02-06,110.5192413003435,109.80414136442154
