date,orcan_start_100,emaxis-sp_start_100
2023-09-11,100.0,100.0
2023-09-12,100.51774779708269,100.50526676372355
2023-09-13,100.52272614128542,100.34255373811767
2023-09-14,100.48289938766366,100.36396334675001
2023-09-15,101.58311345646437,101.54577374325598
2023-09-19,100.81147010504306,100.46244754645886
2023-09-20,100.60735799273162,100.31686220775885
2023-09-21,100.33852740578484,99.77734007022352
2023-09-22,98.36212475730572,97.64066112871457
2023-09-25,98.82511076815851,97.96180525819989
2023-09-26,99.05411460148355,98.65975849961463
2023-09-27,97.91407377906108,97.29382546887044
2023-09-28,98.1928610544133,97.68776226770575
2023-09-29,98.63593368845522,98.22728440524108
2023-10-02,98.73052222830687,98.10310867517342
2023-10-03,98.30736297107582,98.1930290314293
2023-10-04,96.54502912331358,96.45456881048214
2023-10-05,96.83875143127396,96.9598355742057
2023-10-06,96.81385971026036,96.77143101824099
2023-10-10,98.2476228406432,98.44566241329107
2023-10-11,99.14870314133519,98.99803031600582
2023-10-12,100.05974013043262,99.82872313094117
2023-10-13,99.87554139493204,99.66601010533527
2023-10-16,98.92965599641559,98.9423653335617
2023-10-17,99.73116941305322,99.98287231309412
2023-10-18,99.93528152536466,100.14986726042648
2023-10-19,98.65584706526609,98.82247152522052
2023-10-20,97.83939861602032,98.04316177100283
2023-10-23,96.65455269577339,96.76714909651452
2023-10-24,96.47533230447553,96.52307955810568
2023-10-25,97.0976253298153,97.37518198167338
2023-10-26,96.16169661970429,96.16339813308213
2023-10-27,95.40000995668841,95.08863577973796
2023-10-30,94.71797680091602,94.30932602552026
2023-10-31,95.424901677702,95.22137535325854
2023-11-01,97.07273360880171,97.10113899117924
2023-11-02,97.48593617762732,97.57215038109103
2023-11-06,99.81580126449943,99.73023893123234
2023-11-07,100.24891721013591,100.19696839941766
2023-11-08,100.57250958331258,100.86066626702063
2023-11-09,100.9558420869219,101.24175730067655
2023-11-10,100.69198984417783,100.67226171105592
2023-11-13,101.66276696370787,102.44497730581486
2023-11-14,101.88679245283019,102.40644001027661
2023-11-15,103.21103201075323,103.60966001541492
2023-11-16,104.07726390202619,104.26479403956496
2023-11-17,103.68895305421417,104.01216065770318
2023-11-20,103.41016577886195,103.58396848505609
2023-11-21,102.96709314482004,103.12580286032372
2023-11-22,102.91730970279285,103.04016442579429
2023-11-24,104.14198237666153,104.35043247409436
2023-11-27,104.09219893463435,104.33758670891496
2023-11-28,103.01687658684722,103.18146784276783
