date,emaxis-sp_start_100,rakuten-nasdaq_start_100
2024-01-30,100.0,100.0
2024-01-31,100.06151480199922,100.0
2024-02-01,97.98539023452518,100.0
2024-02-02,98.96578239138792,100.91000000000001
2024-02-05,101.58016147635524,104.22
2024-02-06,101.20722798923492,104.03
2024-02-07,100.89965397923875,103.25999999999999
2024-02-08,101.91849288735102,104.50999999999999
2024-02-09,102.93348712033834,105.67999999999999
2024-02-13,103.34102268358323,106.21000000000001
2024-02-14,102.81814686658977,105.44
2024-02-15,103.6870434448289,106.46
2024-02-16,104.15609381007305,106.61
2024-02-19,103.50634371395617,105.47999999999999
2024-02-20,103.74855824682814,105.72999999999999
2024-02-21,102.97962322183776,104.78
2024-02-22,103.37946943483276,104.63
2024-02-26,105.4709727028066,107.25
2024-02-27,105.28642829680892,107.4
2024-02-28,105.35563244905805,107.54999999999998
2024-02-29,105.30949634755864,107.09
2024-03-01,105.6247597078047,107.87
2024-03-04,106.31295655517108,109.25
2024-03-05,106.4321414840446,109.05
2024-03-06,105.09419454056132,106.82000000000001
2024-03-07,104.91349480968859,106.79
2024-03-08,105.18262206843522,107.61
2024-03-11,103.7677816224529,105.24
2024-03-12,103.66782006920414,104.86999999999999
2024-03-13,105.31718569780853,106.91999999999999
2024-03-14,105.22875816993465,106.16000000000001
2024-03-15,105.59784698193002,106.50999999999999
2024-03-18,105.42868127643214,105.80000000000001
2024-03-19,106.06689734717416,106.81
2024-03-21,108.71587850826604,109.43
2024-03-22,109.64628988850443,110.5
2024-03-25,109.38100730488274,110.5
2024-03-26,108.97347174163782,110.05
2024-03-27,108.84275278738946,109.83000000000001
2024-03-28,109.75778546712802,110.22000000000001
2024-03-29,109.8000768935025,109.98000000000002
2024-04-01,109.8154555940023,110.00000000000001
2024-04-02,109.83083429450211,110.47
2024-04-03,108.92733564013841,109.33
2024-04-04,109.15417147251057,109.67
2024-04-05,107.28565936178394,107.45
2024-04-08,109.05805459438677,109.39000000000001
2024-04-09,109.15032679738562,109.48
2024-04-10,109.20415224913495,109.79
2024-04-11,109.01960784313725,109.68
2024-04-12,109.88850442137638,111.53999999999999
2024-04-15,108.56593617839292,109.96
2024-04-16,107.9277201076509,108.82000000000001
2024-04-17,107.96616685890041,109.11999999999999
2024-04-18,107.11264898116109,107.53999999999999
2024-04-19,107.08958093041139,107.13999999999999
2024-04-22,106.17839292579777,104.96000000000001
2024-04-23,107.1434063821607,106.06
2024-04-24,108.4313725490196,107.66
2024-04-25,108.92349096501346,108.47
2024-04-26,108.58515955401768,108.04
2024-04-30,110.84967320261438,111.03
2024-05-01,109.85390234525183,109.64
2024-05-02,108.2083813917724,107.61
2024-05-07,110.26912725874665,110.96
2024-05-08,111.02652825836216,111.55999999999999
2024-05-09,111.52633602460591,112.02000000000001
2024-05-10,112.14917339484813,112.25
2024-05-13,112.54901960784314,112.75999999999999
2024-05-14,112.79892349096501,113.27000000000001
2024-05-15,113.4794309880815,114.16999999999999
2024-05-16,112.92964244521337,113.97999999999999
2024-05-17,113.91387927720106,114.97
2024-05-20,114.29450211457133,115.13
2024-05-21,114.83275663206459,116.36
2024-05-22,115.00192233756248,116.49000000000001
2024-05-23,115.12495194156094,116.88000000000001
2024-05-24,114.45213379469435,116.55
2024-05-27,115.04036908881199,117.48
2024-05-28,115.09034986543638,117.53
2024-05-29,115.45943867743176,118.27000000000001
2024-05-30,114.7673971549404,117.6
2024-05-31,113.45636293733179,115.71000000000001
2024-06-03,114.69819300269126,116.03000000000002
2024-06-04,114.31757016532103,115.9
2024-06-05,113.64090734332947,115.36999999999999
2024-06-06,115.34794309880816,118.09
2024-06-07,115.34794309880816,118.03999999999999
2024-06-10,116.12456747404845,118.83999999999999
2024-06-11,116.67051134179162,119.55
2024-06-12,116.89350249903883,120.30000000000001
2024-06-13,117.65090349865437,121.64999999999999
2024-06-14,118.24298346789696,122.66
2024-06-17,118.38908112264515,123.39
2024-06-18,119.46559015763168,125.07999999999998
2024-06-19,119.93848519800076,125.28999999999999
2024-06-20,120.0884275278739,125.44999999999999
2024-06-21,120.49980776624376,125.2
2024-06-24,120.90734332948865,125.49
2024-06-25,120.29988465974625,123.82
2024-06-26,120.93810073048827,125.42
2024-06-27,121.88773548635142,126.52000000000001
2024-06-28,122.21837754709728,126.99000000000001
2024-07-01,121.84928873510188,126.44
2024-07-02,122.54133025759324,127.64999999999999
2024-07-03,123.22952710495963,128.85999999999999
2024-07-04,123.75240292195309,129.88
2024-07-05,123.52556708958093,129.63
2024-07-08,123.90618992695117,130.64
2024-07-09,124.17147251057285,131.09
2024-07-10,124.7289504036909,131.67
2024-07-11,126.15532487504805,133.25
2024-07-12,123.02960399846212,128.16
2024-07-16,123.55247981545558,128.72
2024-07-17,124.42522106881968,128.88
2024-07-18,120.60745866974241,122.96000000000001
2024-07-19,120.91887735486351,123.66
2024-07-22,120.09611687812381,122.56
2024-07-23,120.78046905036524,123.8
2024-07-24,119.919261822376,122.69000000000001
2024-07-25,115.25951557093425,116.31
2024-07-26,115.2402921953095,115.64000000000001
2024-07-29,116.239907727797,116.55
2024-07-30,116.57823913879277,117.02
2024-07-31,114.7673971549404,114.16999999999999
2024-08-01,114.42906574394465,115.44000000000001
2024-08-02,112.7912341407151,112.55
2024-08-05,107.72395232602845,106.89999999999999
2024-08-06,104.15609381007305,103.39
2024-08-07,106.72433679354094,105.91999999999999
2024-08-08,105.29411764705883,104.10999999999999
2024-08-09,108.79661668589004,108.35999999999999
2024-08-13,109.10034602076124,108.89999999999999
2024-08-14,110.76893502499038,111.46000000000001
2024-08-15,111.3994617454825,111.75
2024-08-16,114.56362937331797,115.87
2024-08-19,113.87927720107652,115.07000000000001
2024-08-20,113.84467512495193,115.41999999999999
2024-08-21,112.96424452133795,114.49000000000001
2024-08-22,113.29488658208382,114.94
2024-08-23,112.94886582083814,113.69
2024-08-26,112.12995001922337,112.88
2024-08-27,112.7912341407151,112.72999999999999
2024-08-28,112.51826220684352,112.63000000000001
2024-08-29,112.0492118415994,111.52
2024-08-30,112.25682429834679,111.57
2024-09-02,114.52902729719338,114.14
2024-09-03,115.25182622068435,114.86000000000001
2024-09-04,111.47635524798154,109.92
2024-09-05,110.06920415224914,108.49
2024-09-06,109.32333717800846,108.13
2024-09-09,107.10495963091118,104.91
2024-09-10,108.92349096501346,106.83
2024-09-11,108.33525567089582,106.74
2024-09-12,110.05382545174933,109.61000000000001
2024-09-13,109.8654363706267,109.66
2024-09-17,110.02691272587467,109.08
2024-09-18,110.72279892349097,109.79
2024-09-19,111.9761630142253,110.84
2024-09-20,113.18723567858515,112.99999999999999
2024-09-24,114.0638216070742,113.84
2024-09-25,114.02153018069974,114.04
2024-09-26,114.8250672818147,115.21
2024-09-27,116.03229527104959,116.78
2024-09-30,113.6562860438293,113.92
2024-10-01,115.2402921953095,115.31
2024-10-02,114.0330642060746,113.53
2024-10-03,116.58592848904267,116.24000000000001
2024-10-04,116.07843137254903,115.87
2024-10-07,118.53902345251825,118.67000000000002
2024-10-08,116.94732795078815,116.84
2024-10-09,118.36216839677047,118.93
2024-10-10,120.13840830449827,120.83
2024-10-11,119.27335640138408,120.02999999999999
2024-10-15,121.77239523260283,122.05999999999999
2024-10-16,120.54594386774318,120.09
2024-10-17,121.3917723952326,120.44999999999999
2024-10-18,121.77239523260283,120.94
2024-10-21,121.69165705497886,121.17
2024-10-22,122.53748558246829,122.46
2024-10-23,122.99115724721261,123.10000000000001
2024-10-24,123.00653594771242,122.32000000000001
2024-10-25,122.76432141484044,122.83
2024-10-28,123.76393694732795,124.6
2024-10-29,123.67550941945407,124.18
2024-10-30,124.17916186082276,125.72000000000001
2024-10-31,124.03690888119954,124.99
2024-11-01,120.47673971549403,120.67000000000002
2024-11-05,120.93810073048827,121.41999999999999
2024-11-06,122.76432141484044,123.36
2024-11-07,127.33948481353326,128.22
2024-11-08,127.04344482891197,128.94
2024-11-11,127.54709727028066,129.06
2024-11-12,128.25067281814685,129.58
2024-11-13,128.8312187620146,130.32
2024-11-14,129.53094963475587,130.78
2024-11-15,129.6462898885044,130.8
2024-11-18,125.91695501730105,125.64
2024-11-19,126.53210303729334,126.64999999999999
2024-11-20,127.38562091503267,127.89999999999999
2024-11-21,127.57400999615534,127.97
2024-11-22,127.76624375240293,127.94000000000001
2024-11-25,127.98539023452517,127.93
2024-11-26,128.36601307189542,128.1
2024-11-27,127.96616685890044,127.69
2024-11-28,126.56286043829297,125.69
2024-11-29,125.70165321030373,124.83999999999999
2024-12-02,125.98231449442522,125.52000000000001
2024-12-03,126.08227604767397,126.69999999999999
2024-12-04,126.02460592079969,126.98
2024-12-05,127.27028066128412,129.03
2024-12-06,126.76662821991542,128.36
2024-12-09,126.91272587466361,129.37
2024-12-10,127.57400999615534,129.75
2024-12-11,127.46635909265666,129.58
2024-12-12,128.96193771626298,132.45
2024-12-13,128.78892733564012,132.07999999999998
2024-12-16,129.55401768550558,133.88
2024-12-17,130.3575547866205,136.13
2024-12-18,129.4079200307574,135.08
2024-12-19,126.57054978854288,131.23
2024-12-20,128.9196462898885,133.16
2024-12-23,129.3118031526336,133.23000000000002
2024-12-24,130.8650519031142,135.21
2024-12-25,132.2491349480969,137.0
2024-12-26,132.29142637447134,137.03
2024-12-27,132.87581699346404,137.5
2024-12-30,131.41868512110727,135.63
2025-01-06,130.44213763936946,134.32999999999998
2025-01-07,131.58785082660515,136.23000000000002
2025-01-08,130.0230680507497,133.68
2025-01-09,130.5036524413687,134.02
2025-01-10,130.2960399846213,133.81
2025-01-14,128.01230296039984,130.79000000000002
2025-01-15,128.57747020376777,131.05
2025-01-16,129.600153787005,132.71
2025-01-17,128.3275663206459,130.77
