date,rakuten-sp_start_100,rakuten-nasdaq_start_100
2024-01-30,100.0,100.0
2024-01-31,100.05183137525916,100.0
2024-02-01,97.97857636489287,100.0
2024-02-02,98.97201105736005,100.91000000000001
2024-02-05,101.58085694540429,104.22
2024-02-06,101.2007601935038,104.03
2024-02-07,100.89841050449205,103.25999999999999
2024-02-08,101.91776088458882,104.50999999999999
2024-02-09,102.93711126468557,105.67999999999999
2024-02-13,103.35176226675881,106.21000000000001
2024-02-14,102.83344851416724,105.44
2024-02-15,103.68002764340014,106.46
2024-02-16,104.16378714581893,106.61
2024-02-19,103.50725639253628,105.47999999999999
2024-02-20,103.75777470628887,105.72999999999999
2024-02-21,103.0062197650311,104.78
2024-02-22,103.38631651693157,104.63
2024-02-26,105.47684865238425,107.25
2024-02-27,105.28680027643401,107.4
2024-02-28,105.35590877677954,107.54999999999998
2024-02-29,105.32135452660678,107.09
2024-03-01,105.62370421561853,107.87
2024-03-04,106.33206634416032,109.25
2024-03-05,106.44436765722183,109.05
2024-03-06,105.10539046302696,106.82000000000001
2024-03-07,104.9326192121631,106.79
2024-03-08,105.1917760884589,107.61
2024-03-11,103.78369039391846,105.24
2024-03-12,103.69730476848653,104.86999999999999
2024-03-13,105.33863165169315,106.91999999999999
2024-03-14,105.25224602626122,106.16000000000001
2024-03-15,105.63234277816171,106.50999999999999
2024-03-18,105.42501727712508,105.80000000000001
2024-03-19,106.07290946786453,106.81
2024-03-21,108.72494816862475,109.43
2024-03-22,109.64927436074636,110.5
2024-03-25,109.38147892190739,110.5
2024-03-26,108.97546648237733,110.05
2024-03-27,108.85452660677264,109.83000000000001
2024-03-28,109.77021423635107,110.22000000000001
2024-03-29,109.80476848652386,109.98000000000002
2024-04-01,109.82204561161022,110.00000000000001
2024-04-02,109.83932273669662,110.47
2024-04-03,108.94091223220457,109.33
2024-04-04,109.17415342087075,109.67
2024-04-05,107.29958534899792,107.45
2024-04-08,109.06185210780926,109.39000000000001
2024-04-09,109.15687629578439,109.48
2024-04-10,109.20870767104354,109.79
2024-04-11,109.0272978576365,109.68
2024-04-12,109.89115411195579,111.53999999999999
2024-04-15,108.57809260539047,109.96
2024-04-16,107.93883897719418,108.82000000000001
2024-04-17,107.97339322736697,109.11999999999999
2024-04-18,107.1181755355909,107.53999999999999
2024-04-19,107.09225984796129,107.13999999999999
2024-04-22,106.19384934346925,104.96000000000001
2024-04-23,107.16136834830685,106.06
2024-04-24,108.44851416724256,107.66
2024-04-25,108.93227366966136,108.47
2024-04-26,108.60400829302004,108.04
2024-04-30,110.86731167933657,111.03
2024-05-01,109.86523842432618,109.64
2024-05-02,108.22391154111956,107.61
2024-05-07,110.27988942639946,110.96
2024-05-08,111.03144436765722,111.55999999999999
