date,sbi-sp_start_100,fang_start_100
2023-09-11,100.0,100.0
2023-09-12,100.486322,101.88872921371382
2023-09-13,100.35538932729722,100.73906795319236
2023-09-14,100.36941800717129,101.0162184356395
2023-09-15,101.54313798134716,101.56538698419214
2023-09-19,100.46761743420186,99.3250872510778
2023-09-20,100.34136078404848,99.23013754875795
2023-09-21,99.79892441837237,97.60316156846643
2023-09-22,97.67594082080086,94.75467049887087
2023-09-25,97.97989174372526,95.24738246766577
2023-09-26,98.68599461136449,96.29696160952577
2023-09-27,97.32522724770763,94.65715458838021
2023-09-28,97.72270250253499,95.03695339765962
2023-09-29,98.19967235504448,96.10962841305687
2023-10-02,98.10147268268943,96.53048655306918
2023-10-03,98.1809672490484,97.94190104701293
2023-10-04,96.47416378733944,95.59125436255388
2023-10-05,96.89969588793919,97.05912543625539
2023-10-06,96.74070577391714,96.84099774173681
2023-10-10,98.43815689370861,99.68435639499076
2023-10-11,98.9805934666004,99.8870868404845
2023-10-12,99.79892443133892,101.28053787723259
2023-10-13,99.64928692203581,101.45504003284746
2023-10-16,98.9057746940173,99.18394580168344
2023-10-17,99.92518068886459,100.77499486758366
2023-10-18,100.10287563917997,99.93584479572984
2023-10-19,98.7888702369585,97.77509751591049
2023-10-20,98.00794915717886,97.99322521042907
2023-10-23,96.74538233383083,96.10706220488606
2023-10-24,96.49754485063713,97.11814822418394
2023-10-25,97.36263762041949,98.47053993019914
2023-10-26,96.18424106565115,95.3320673373024
2023-10-27,95.0713114872863,92.85567645247383
2023-10-30,94.3231230829961,93.76668035311025
2023-10-31,95.23030118649005,94.77263395606653
2023-11-01,97.05400906936194,96.16608499281462
2023-11-02,97.56838852364893,97.69811127078628
2023-11-06,99.69604773692586,99.99486758365839
2023-11-07,100.17301755635077,100.57226442208993
2023-11-08,100.83235836136704,102.90751385752412
2023-11-09,101.19242365481038,103.66967768425374
2023-11-10,100.65933994314837,103.04865530691849
2023-11-13,102.41758179877031,106.03828782590843
2023-11-14,102.35679184309365,105.90741120919729
2023-11-15,103.5538923957116,107.59340997741738
2023-11-16,104.24596584044848,108.09895298706631
2023-11-17,103.99345187985283,107.76791213303223
2023-11-20,103.59130088195727,107.29316362143297
2023-11-21,103.13771186826351,107.67296243071239
2023-11-22,102.98807451899943,107.35475261753234
2023-11-24,104.32078448814732,108.48645042085813
2023-11-27,104.3020797714886,108.15797577499487
2023-11-28,103.17044496982066,106.8492096078834
2023-11-29,102.42693271428335,106.60798603982755
2023-11-30,102.45031371021405,106.18712789981524
2023-12-01,103.41360585838375,106.47967563128722
2023-12-04,102.98339801906047,104.98870868404846
2023-12-05,102.98339801906047,104.144426195853
2023-12-06,103.03015969059899,104.88349414904536
2023-12-07,102.53916122218065,103.75692876206118
2023-12-08,100.59387233758564,102.96910285362348
