date,rakuten-vti_start_100,sbi-vti_start_100
2023-09-11,100.0,100.0
2023-09-12,100.45723394437687,100.45155100000001
2023-09-13,100.37333780779396,100.37752624303708
2023-09-14,100.28944167121104,100.28869614741305
2023-09-15,101.45140316288435,101.4508846825086
2023-09-19,100.33977935316078,100.34791675129347
2023-09-20,100.15940265950753,100.16285512322072
2023-09-21,99.6686102604975,99.68169480303689
2023-09-22,97.46214186836696,97.49056256187984
2023-09-25,97.7977264146986,97.83107662389034
2023-09-26,98.48567473467847,98.51210418434916
2023-09-27,97.15172616301018,97.19446440092078
2023-09-28,97.62154452787449,97.66822229458411
2023-09-29,98.21720709761316,98.2530176123485
2023-10-02,98.07038885859306,98.10496800034986
2023-10-03,98.02424598347245,98.06055293818706
2023-10-04,96.20789462645246,96.25435011787481
2023-10-05,96.627375309367,96.66888872752747
2023-10-06,96.4973362976635,96.535644198061
2023-10-10,98.1668694156634,98.19379834419341
2023-10-11,98.80867486052267,98.8452160024088
2023-10-12,99.59729854440204,99.62987799214856
2023-10-13,99.24493477075382,99.28196149151097
2023-10-16,98.4605058937036,98.49729941551782
2023-10-17,99.59729854440204,99.62247543560704
2023-10-18,99.89512982927137,99.92597729947113
2023-10-19,98.43953185955787,98.48249559513184
2023-10-20,97.56281723226645,97.60160118643196
2023-10-23,96.30856999035194,96.35798598451476
2023-10-24,95.96459583036201,96.0100700588399
2023-10-25,96.83711565082427,96.88356199542964
2023-10-26,95.58286840890977,95.63994618577952
2023-10-27,94.64742648601032,94.71463735762781
2023-10-30,93.8168547338395,93.8781584077793
2023-10-31,94.67679013381434,94.73684502466675
2023-11-01,96.53089475229666,96.58746297643208
2023-11-02,96.95037543521121,97.00200187940749
2023-11-06,99.36658416879902,99.40040256641635
2023-11-07,99.68958429464323,99.72611184152181
2023-11-08,100.36075338730652,100.40713946476534
2023-11-09,100.62083141071354,100.65882401683331
2023-11-10,99.9916103863417,100.03701621052818
2023-11-13,101.66533831117077,101.70257250822374
2023-11-14,101.64436427702503,101.68036473449085
2023-11-15,103.14191031502999,103.16826164607984
2023-11-16,103.85922228281387,103.88630139862781
2023-11-17,103.39359872477874,103.42734834085687
2023-11-20,103.09576743990941,103.1312492881123
2023-11-21,102.65531272284912,102.67969839491673
2023-11-22,102.49171525651244,102.51684428607446
2023-11-24,103.81307940769327,103.8344840591674
2023-11-27,103.84663786232645,103.86409350064172
2023-11-28,102.7643777004069,102.783332559798
2023-11-29,101.99672805067325,102.02087757620279
2023-11-30,102.12676706237677,102.1541219433612
2023-12-01,103.10835186039682,103.13124859365628
2023-12-04,102.94055958723101,102.96099127797798
2023-12-05,103.09157263308025,103.11644281221939
2023-12-06,102.96992323503503,102.99060053657581
2023-12-07,102.4707412223667,102.49463488100783
2023-12-08,100.55790930827635,100.57739483963606
2023-12-11,102.54205293846219,102.56125780272522
2023-12-12,103.30131297453752,103.32371255180679
2023-12-13,103.51524812282393,103.5383840964272
2023-12-14,102.86924787113554,102.87956418150242
2023-12-15,103.47749486136163,103.49396916915947
2023-12-18,103.12093628088425,103.13865056938884
2023-12-19,103.92214438525107,103.9381174426394
2023-12-20,105.65879441251731,105.67029606011732
2023-12-21,103.68723520281891,103.70864113768101
2023-12-22,103.95570283988422,103.96772813914399
2023-12-25,104.10671588573346,104.11577714433685
2023-12-26,104.14446914719578,104.15278926195388
2023-12-27,105.03796300180377,105.0484886682162
2023-12-28,104.53878098913545,104.54512047167049
2023-12-29,104.47585888669826,104.48590088817933
2024-01-04,103.54880657745711,103.56059151251675
2024-01-05,104.42132639791937,104.43408367768822
2024-01-09,105.31062544569822,105.32238015097475
2024-01-10,105.62943076471329,105.63328444461382
2024-01-11,106.87528839296951,106.87689982071602
2024-01-12,106.56487268761275,106.56599598790655
2024-01-15,106.47258693737155,106.47716683629088
2024-01-16,107.00952221150214,107.0175469761584
2024-01-17,107.62615881538655,107.63935423988038
2024-01-18,107.57162632660766,107.58753665474931
2024-01-19,108.4693149880448,108.47583315113927
2024-01-22,109.79487394605478,109.79347282505117
2024-01-23,110.23532866311507,110.23021918266723
2024-01-24,110.44926381140148,110.44489143222327
2024-01-25,110.2017702084819,110.1932074047297
2024-01-26,110.69256260749192,110.68917270614142
2024-01-29,111.00717311967784,111.00747934630904
2024-01-30,111.35953689332607,111.35539565785184
2024-01-31,111.3343680523512,111.33318805129582
2024-02-01,108.94332815973824,108.94959236838844
2024-02-02,110.1388481060447,110.13398774500888
2024-02-05,112.79416082889382,112.78407250770475
2024-02-06,112.20269306598432,112.19187492250708
2024-02-07,111.97617349721045,111.96980120336673
2024-02-08,113.0668232727883,113.0579651602875
2024-02-09,114.39657703762742,114.39040980868407
2024-02-13,115.09291497126557,115.07883989251518
2024-02-14,114.2287847644616,114.220152660524
2024-02-15,115.34040857418515,115.33052331498578
2024-02-16,116.04933092831075,116.04116116702188
2024-02-19,115.26490205126055,115.25649895809178
2024-02-20,115.5291748814967,115.52298811959272
2024-02-21,114.6356810268887,114.63469143089533
2024-02-22,114.95868115273291,114.95299757859149
2024-02-26,117.16095473803432,117.14412931026676
2024-02-27,117.03511053315995,117.02568956688633
2024-02-28,117.23646126095892,117.22555657184073
2024-02-29,117.1693443516926,117.15893377127425
2024-03-01,117.38747430680819,117.37360525721267
2024-03-04,118.28516296824532,118.26190161289585
2024-03-05,118.43198120726541,118.40995132228701
2024-03-06,116.88829229413986,116.87763892881264
2024-03-07,116.77922731658208,116.75919980462774
2024-03-08,117.00155207852679,116.98127346747216
2024-03-11,115.50820084735098,115.49337695211204
2024-03-12,115.34460338101431,115.33052205113938
2024-03-13,117.02252611267252,117.00348123129835
2024-03-14,116.99316246486848,116.97387116030318
2024-03-15,117.25743529510466,117.23295775727482
