date,rakuten-orcan_start_100,rakuten-sp_start_100
2023-10-27,100.0,100.0
2023-10-30,99.18379685610641,99.17071197411003
2023-10-31,100.0,100.13147249190939
2023-11-01,101.72309552599759,102.0529935275081
2023-11-02,102.21684804514308,102.52831715210355
2023-11-06,104.67553405884725,104.81391585760518
2023-11-07,105.02821442966545,105.33980582524272
2023-11-08,105.39097138250706,106.0275080906149
2023-11-09,105.73357517130188,106.38147249190939
2023-11-10,105.40104796453042,105.78478964401295
2023-11-13,106.590084643289,107.65574433656957
2023-11-14,106.78153970173317,107.59506472491908
2023-11-15,108.29302700523982,108.8794498381877
2023-11-16,109.04877065699314,109.57726537216827
2023-11-17,108.56509471987101,109.3042071197411
2023-11-20,108.36356307940346,108.84911003236246
2023-11-21,107.92019347037484,108.40412621359224
2023-11-22,107.76904474002419,108.29288025889967
2023-11-24,109.00846432889963,109.64805825242718
2023-11-27,109.04877065699314,109.63794498381878
2023-11-28,107.92019347037484,108.44457928802589
2023-11-29,107.23498589278518,107.62540453074433
2023-11-30,107.3055219669488,107.64563106796116
2023-12-01,108.17210802095929,108.66707119741102
2023-12-04,107.75896815800081,108.22208737864078
2023-12-05,107.66827891979041,108.20186084142395
2023-12-06,107.7186618299073,108.23220064724919
2023-12-07,107.36598145908907,107.7467637540453
2023-12-08,105.15920999596938,105.71399676375404
2023-12-11,107.0838371624345,107.7467637540453
2023-12-12,107.78919790407093,108.53559870550163
2023-12-13,107.95042321644499,108.84911003236246
2023-12-14,106.96291817815397,107.95914239482201
2023-12-15,107.6783555018138,108.29288025889967
2023-12-18,107.19467956469167,107.96925566343043
2023-12-19,107.91011688835148,108.88956310679612
2023-12-20,109.63321241434905,110.56836569579286
2023-12-21,107.83958081418783,108.55582524271846
2023-12-22,108.07134220072552,108.79854368932038
2023-12-25,108.08141878274888,108.89967637540454
2023-12-26,108.16203143893593,108.9401294498382
2023-12-27,109.03869407496978,109.7997572815534
2023-12-28,108.74647319629183,109.24352750809061
2023-12-29,108.73639661426844,109.28398058252426
2024-01-04,108.04111245465538,108.69741100323624
2024-01-05,109.10923014913341,109.54692556634305
2024-01-09,109.62313583232569,110.48745954692556
2024-01-10,109.84482063683998,110.8717637540453
2024-01-11,111.04393389762193,112.25728155339804
2024-01-12,110.75171301894397,111.9336569579288
2024-01-15,110.89278516727126,111.90331715210355
2024-01-16,111.2353889560661,112.47977346278317
2024-01-17,111.55783958081417,113.24838187702267
2024-01-18,111.3260781942765,113.23826860841424
2024-01-19,112.14228133817011,114.16868932038835
2024-01-22,113.32124143490528,115.59466019417475
2024-01-23,113.47239016525594,115.81715210355988
2024-01-24,113.70415155179363,116.17111650485437
2024-01-25,113.86537686416767,116.02953074433657
2024-01-26,114.0769850866586,116.52508090614886
2024-01-29,114.74203950020154,116.86893203883496
2024-01-30,114.78234582829505,117.07119741100325
2024-01-31,114.85288190245868,117.13187702265373
2024-02-01,112.96856106408706,114.70469255663431
2024-02-02,113.75453446191052,115.86771844660196
2024-02-05,116.02176541717049,118.92192556634305
2024-02-06,115.57839580814189,118.47694174757282
2024-02-07,115.64893188230552,118.12297734627832
2024-02-08,116.50544135429261,119.3163430420712
2024-02-09,117.50302297460702,120.50970873786409
2024-02-13,118.1882305521967,120.99514563106797
2024-02-14,117.39218057234986,120.3883495145631
2024-02-15,118.38976219266424,121.3794498381877
2024-02-16,119.07496977025393,121.9457928802589
2024-02-19,118.80290205562274,121.17718446601941
2024-02-20,119.02458686013703,121.47046925566343
2024-02-21,118.47037484885128,120.5906148867314
2024-02-22,118.94397420395002,121.03559870550163
2024-02-26,120.85852478839179,123.48300970873787
2024-02-27,120.73760580411124,123.26051779935274
2024-02-28,120.81821846029828,123.34142394822007
2024-02-29,120.53607416364369,123.3009708737864
2024-03-01,120.76783555018137,123.65493527508092
2024-03-04,121.61426844014511,124.48422330097087
2024-03-05,121.77549375251915,124.61569579288026
2024-03-06,120.53607416364369,123.04813915857605
2024-03-07,120.53607416364369,122.84587378640776
2024-03-08,120.91898428053204,123.1492718446602
2024-03-11,119.43772672309552,121.50080906148868
2024-03-12,119.23619508262797,121.39967637540454
2024-03-13,120.8988311164853,123.32119741100325
2024-03-14,120.96936719064892,123.22006472491908
2024-03-15,121.19105199516325,123.66504854368931
2024-03-18,121.2515114873035,123.42233009708738
2024-03-19,121.73518742442565,124.18082524271846
2024-03-21,124.46594115276098,127.28559870550163
2024-03-22,125.50382910116889,128.36771844660194
2024-03-25,124.9093107617896,128.05420711974108
2024-03-26,124.71785570334542,127.57888349514563
2024-03-27,124.71785570334542,127.43729773462785
2024-03-28,125.36275695284161,128.50930420711975
2024-03-29,125.45344619105198,128.5497572815534
2024-04-01,125.37283353486497,128.56998381877023
2024-04-02,125.34260378879485,128.59021035598707
2024-04-03,124.54655380894802,127.53843042071198
2024-04-04,125.06045949214027,127.81148867313917
2024-04-05,123.38774687625957,125.61690938511327
2024-04-08,124.78839177750906,127.68001618122977
2024-04-09,125.24183796856106,127.79126213592234
2024-04-10,125.21160822249094,127.85194174757282
2024-04-11,124.92946392583634,127.63956310679612
2024-04-12,125.5844417573559,128.65088996763754
2024-04-15,124.17372027408302,127.11367313915858
2024-04-16,123.61950826279727,126.36529126213591
2024-04-17,123.12575574365174,126.40574433656957
2024-04-18,122.53123740427247,125.40453074433657
2024-04-19,122.53123740427247,125.37419093851132
2024-04-22,121.90648931882306,124.32241100323624
2024-04-23,122.98468359532447,125.45509708737863
2024-04-24,124.57678355501814,126.96197411003236
2024-04-25,124.9093107617896,127.52831715210355
2024-04-26,124.76823861346232,127.14401294498381
2024-04-30,127.40830310358726,129.79368932038835
2024-05-01,126.39056831922613,128.6205501618123
2024-05-02,124.82869810560257,126.6990291262136
2024-05-07,126.83393792825473,129.1059870550162
2024-05-08,127.55945183393793,129.98584142394822
2024-05-09,128.1640467553406,130.57241100323625
2024-05-10,128.84925433293026,131.31067961165047
2024-05-13,129.36316001612255,131.77588996763754
2024-05-14,129.81660620717452,132.06917475728156
2024-05-15,130.54212011285773,132.86812297734627
2024-05-16,129.9677549375252,132.22087378640776
2024-05-17,131.0862555421201,133.37378640776697
2024-05-20,131.62031438935912,133.82888349514565
2024-05-21,132.15437323659816,134.46601941747574
2024-05-22,132.01330108827085,134.6581715210356
