äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2016/06/23,3988,3988,117.47,
2016/06/24,2664,2664,79.74,
2016/06/27,2966,2966,94.66,
2016/06/28,2917,2917,95.01,
2016/06/29,3137,3137,104.02,
2016/06/30,3136,3136,102.83,
2016/07/01,3223,3223,102.75,
2016/07/04,3302,3302,105.52,
2016/07/05,3158,3158,100.61,
2016/07/06,2877,2877,92.52,
2016/07/07,2860,2860,96.53,
2016/07/08,2748,2748,93.08,
2016/07/11,3203,3203,111.58,
2016/07/12,3588,3588,118.93,
2016/07/13,3663,3663,116.46,
2016/07/14,3827,3827,117.97,
2016/07/15,3987,3987,121.89,
2016/07/19,4149,4149,126.24,
2016/07/20,4117,4117,125.22,
2016/07/21,4243,4243,127.99,
2016/07/22,4048,4048,120.89,
2016/07/25,4027,4027,119.07,
2016/07/26,3746,3746,109.22,
2016/07/27,4112,4112,118.13,
2016/07/28,3797,3797,106.04,
2016/07/29,3998,3998,111.92,
2016/08/01,3977,3977,113.19,
2016/08/02,3718,3718,106.91,
2016/08/03,3413,3413,98.52,
2016/08/04,3561,3561,103.93,
2016/08/05,3580,3580,106.42,
2016/08/08,3960,3960,118.18,
2016/08/09,4084,4084,122.07,
2016/08/10,4125,4125,118.86,
2016/08/12,4282,4282,121.80,
2016/08/15,4227,4227,115.19,
2016/08/16,3938,3938,108.41,
2016/08/17,4091,4091,113.45,
2016/08/18,3829,3829,106.75,
2016/08/19,3849,3849,108.19,
2016/08/22,3898,3898,109.48,
2016/08/23,3837,3837,107.62,
2016/08/24,3867,3867,108.68,
2016/08/25,3847,3847,107.63,
2016/08/26,3726,3726,104.29,
2016/08/29,4044,4044,115.21,
2016/08/30,4054,4054,116.66,
2016/08/31,4210,4210,120.78,
2016/09/01,4263,4263,119.04,
2016/09/02,4263,4263,118.09,
2016/09/05,4364,4364,120.94,
2016/09/06,4415,4415,120.47,
2016/09/07,4314,4314,117.57,
2016/09/08,4270,4270,117.99,
2016/09/09,4313,4313,119.24,
2016/09/12,3962,3962,109.86,
2016/09/13,4023,4023,114.44,
2016/09/14,3898,3898,111.04,
2016/09/15,3674,3674,105.28,
2016/09/16,3762,3762,111.57,
2016/09/20,3731,3731,111.75,
2016/09/21,4136,4136,124.11,
2016/09/23,3967,3967,119.59,
2016/09/26,3791,3791,112.50,
2016/09/27,3929,3929,117.29,
2016/09/28,3847,3847,116.16,
2016/09/29,4107,4107,126.66,
2016/09/30,3821,3821,114.38,
2016/10/03,3961,3961,120.82,
2016/10/04,4094,4094,122.40,
2016/10/05,4198,4198,122.57,
2016/10/06,4284,4284,121.29,
2016/10/07,4273,4273,116.76,
2016/10/11,4402,4402,119.56,
2016/10/12,4268,4268,110.64,
2016/10/13,4160,4160,108.44,
2016/10/14,4223,4223,110.51,
2016/10/17,4255,4255,111.73,
2016/10/18,4320,4320,114.28,
2016/10/19,4375,4375,115.02,
2016/10/20,4585,4585,119.52,
2016/10/21,4631,4631,114.11,
2016/10/24,4665,4665,112.88,
2016/10/25,4816,4816,116.94,
2016/10/26,4792,4792,114.58,
2016/10/27,4780,4780,115.94,
2016/10/28,4909,4909,119.51,
2016/10/31,4885,4885,118.73,
2016/11/01,4885,4885,119.18,
2016/11/02,4476,4476,109.56,
2016/11/04,4238,4238,105.77,
2016/11/07,4602,4602,121.40,
2016/11/08,4568,4568,123.83,
2016/11/09,3477,3477,95.77,
2016/11/10,4413,4413,133.64,
2016/11/11,4525,4525,126.15,
2016/11/14,4813,4813,132.11,
2016/11/15,4801,4801,127.68,
2016/11/16,5071,5071,133.03,
2016/11/17,5071,5071,128.03,
2016/11/18,5180,5180,128.67,
