date,sbi-sp_start_100,rakuten-vti_start_100
2023-09-11,100.0,100.0
2023-09-12,100.486322,100.45723394437687
2023-09-13,100.35538932729722,100.37333780779396
2023-09-14,100.36941800717129,100.28944167121104
2023-09-15,101.54313798134716,101.45140316288435
2023-09-19,100.46761743420186,100.33977935316078
2023-09-20,100.34136078404848,100.15940265950753
2023-09-21,99.79892441837237,99.6686102604975
2023-09-22,97.67594082080086,97.46214186836696
2023-09-25,97.97989174372526,97.7977264146986
2023-09-26,98.68599461136449,98.48567473467847
2023-09-27,97.32522724770763,97.15172616301018
2023-09-28,97.72270250253499,97.62154452787449
2023-09-29,98.19967235504448,98.21720709761316
2023-10-02,98.10147268268943,98.07038885859306
2023-10-03,98.1809672490484,98.02424598347245
2023-10-04,96.47416378733944,96.20789462645246
2023-10-05,96.89969588793919,96.627375309367
2023-10-06,96.74070577391714,96.4973362976635
2023-10-10,98.43815689370861,98.1668694156634
2023-10-11,98.9805934666004,98.80867486052267
2023-10-12,99.79892443133892,99.59729854440204
2023-10-13,99.64928692203581,99.24493477075382
2023-10-16,98.9057746940173,98.4605058937036
2023-10-17,99.92518068886459,99.59729854440204
2023-10-18,100.10287563917997,99.89512982927137
2023-10-19,98.7888702369585,98.43953185955787
2023-10-20,98.00794915717886,97.56281723226645
2023-10-23,96.74538233383083,96.30856999035194
2023-10-24,96.49754485063713,95.96459583036201
2023-10-25,97.36263762041949,96.83711565082427
2023-10-26,96.18424106565115,95.58286840890977
2023-10-27,95.0713114872863,94.64742648601032
2023-10-30,94.3231230829961,93.8168547338395
2023-10-31,95.23030118649005,94.67679013381434
2023-11-01,97.05400906936194,96.53089475229666
2023-11-02,97.56838852364893,96.95037543521121
2023-11-06,99.69604773692586,99.36658416879902
2023-11-07,100.17301755635077,99.68958429464323
2023-11-08,100.83235836136704,100.36075338730652
2023-11-09,101.19242365481038,100.62083141071354
2023-11-10,100.65933994314837,99.9916103863417
2023-11-13,102.41758179877031,101.66533831117077
2023-11-14,102.35679184309365,101.64436427702503
2023-11-15,103.5538923957116,103.14191031502999
2023-11-16,104.24596584044848,103.85922228281387
2023-11-17,103.99345187985283,103.39359872477874
2023-11-20,103.59130088195727,103.09576743990941
2023-11-21,103.13771186826351,102.65531272284912
2023-11-22,102.98807451899943,102.49171525651244
2023-11-24,104.32078448814732,103.81307940769327
2023-11-27,104.3020797714886,103.84663786232645
2023-11-28,103.17044496982066,102.7643777004069
2023-11-29,102.42693271428335,101.99672805067325
2023-11-30,102.45031371021405,102.12676706237677
2023-12-01,103.41360585838375,103.10835186039682
2023-12-04,102.98339801906047,102.94055958723101
2023-12-05,102.98339801906047,103.09157263308025
2023-12-06,103.03015969059899,102.96992323503503
2023-12-07,102.53916122218065,102.4707412223667
2023-12-08,100.59387233758564,100.55790930827635
2023-12-11,102.53448506141851,102.54205293846219
2023-12-12,103.26864427859648,103.30131297453752
2023-12-13,103.60065296995215,103.51524812282393
2023-12-14,102.74958914590194,102.86924787113554
2023-12-15,103.05821705932358,103.47749486136163
2023-12-18,102.68412294547342,103.12093628088425
2023-12-19,103.6146813802071,103.92214438525107
2023-12-20,105.21860970815557,105.65879441251731
2023-12-21,103.27799765377004,103.68723520281891
2023-12-22,103.4463397571657,103.95570283988422
2023-12-25,103.60065376557166,104.10671588573346
2023-12-26,103.63806292563986,104.14446914719578
2023-12-27,104.44236476782562,105.03796300180377
2023-12-28,103.9373378906854,104.53878098913545
2023-12-29,103.94669017234881,104.47585888669826
2024-01-04,103.40425372488653,103.54880657745711
2024-01-05,104.20855579333706,104.42132639791937
2024-01-09,105.07364832968324,105.31062544569822
2024-01-10,105.33083814943629,105.62943076471329
2024-01-11,106.72433775213541,106.87528839296951
2024-01-12,106.4437669388887,106.56487268761275
2024-01-15,106.3829769035899,106.47258693737155
2024-01-16,106.92073753268869,107.00952221150214
2024-01-17,107.67827737335205,107.62615881538655
2024-01-18,107.67360090576572,107.57162632660766
2024-01-19,108.5761027240457,108.4693149880448
2024-01-22,109.9088124966048,109.79487394605478
2024-01-23,110.1145639917747,110.23532866311507
2024-01-24,110.45592464587742,110.44926381140148
2024-01-25,110.32031569807117,110.2017702084819
2024-01-26,110.8206668707008,110.69256260749192
2024-01-29,111.16202777086261,111.00717311967784
2024-01-30,111.31166519968554,111.35953689332607
2024-01-31,111.36310343329097,111.3343680523512
2024-02-01,109.03436841840777,108.94332815973824
