date,rakuten-bull_start_100,sbi-bull_start_100
2023-09-11,100.0,100.0
2023-09-12,104.50293892154356,104.50726900000001
2023-09-13,102.16713519039101,102.16962532526344
2023-09-14,109.3381037567084,109.34326838009996
2023-09-15,113.67748530539228,113.6094676648809
2023-09-19,110.12011244569383,110.05186671158252
2023-09-20,107.9734219269103,107.9041572104033
2023-09-21,101.21645796064401,101.17612691139438
2023-09-22,99.35088167646308,99.3060126755959
2023-09-25,102.11091234347047,102.04543854946107
2023-09-26,96.69818553539484,96.66155386613184
2023-09-27,97.60286225402504,97.56739055295321
2023-09-28,93.69281880909787,93.66644821684332
2023-09-29,93.73881932021467,93.70297344832547
2023-10-02,93.22259136212625,93.1843087496943
2023-10-03,85.42294914387938,85.38242361249043
2023-10-04,76.10529005877844,76.00262988468654
2023-10-05,82.73447482749809,82.67952400223906
2023-10-06,82.73447482749809,82.67952400223906
2023-10-10,90.83567595195503,90.81744466147417
2023-10-11,92.92614362381805,92.90671359852807
2023-10-12,102.2591362126246,102.15501485164427
2023-10-13,97.0304114490161,96.90992792864564
2023-10-16,89.60899565550729,89.53904602932799
2023-10-17,93.97393304370048,93.91482189495264
2023-10-18,93.96882187579862,93.90751720010566
2023-10-19,85.90851009455662,85.84264759359374
2023-10-20,83.7873754152824,83.72415835429334
2023-10-23,81.24201380015333,81.18927633870531
2023-10-24,82.92869920776897,82.87676297169477
2023-10-25,83.94582162024022,83.89217653053265
2023-10-26,76.42729363659596,76.38249704005199
2023-10-27,81.22668029644774,81.18197138211443
2023-10-30,77.39330437004855,77.3540806911444
2023-10-31,79.0186557628418,78.98312591532681
2023-11-01,87.25274725274726,87.19409794978287
2023-11-02,90.55456171735241,90.51062922627942
2023-11-06,100.20444671607463,100.17532344144759
2023-11-07,94.91438793764375,94.89371074267096
2023-11-08,93.26859187324304,93.24274996316998
2023-11-09,99.00843342703809,98.99919649645373
2023-11-10,98.7375415282392,98.72890691019518
2023-11-13,98.59953999488883,98.59010887641548
2023-11-14,100.41400460005111,100.40908751207553
2023-11-15,110.18655762841809,110.17605416618741
2023-11-16,110.18144646051621,110.16874949379618
2023-11-17,112.29746997188859,112.2799341724082
2023-11-20,108.2698696652185,108.24749914294823
2023-11-21,108.68387426526962,108.66389155047642
2023-11-22,109.94122156912856,109.92037538839135
2023-11-24,112.19013544594941,112.17035753629139
2023-11-27,109.87988755430615,109.86923985831672
2023-11-28,109.02632251469461,109.02184368121468
2023-11-29,107.47252747252747,107.47315459495148
2023-11-30,110.6618962432916,110.66549848870426
2023-12-01,109.52721696907743,109.53320230781738
2023-12-04,105.85228724763608,105.85871935329763
2023-12-05,100.63378481983133,100.66476763975123
2023-12-06,109.57321748019422,109.62816893975904
2023-12-07,102.19269102990035,102.3084232683273
2023-12-08,93.46281625351392,93.53495522319378
2023-12-11,99.87222080245336,99.97808442395602
2023-12-12,99.73933043700485,99.8465922475408
2023-12-13,101.3084589828776,101.42450189267005
2023-12-14,97.1939688218758,97.30440534943543
2023-12-15,101.95757730641452,102.06735382166468
2023-12-18,99.41221569128545,99.52516632272263
2023-12-19,105.0038333759264,105.11359497964486
2023-12-20,111.4030155890621,111.52019921868153
2023-12-21,104.48249424993612,104.63876168574338
2023-12-22,103.67492972144134,103.82789185452535
2023-12-25,105.55583950932788,105.71261727862544
2023-12-26,105.8216202402249,105.98290752698811
2023-12-27,111.02478916432406,111.18416391045838
2023-12-28,109.30743674929721,109.46745707100649
2023-12-29,108.8934321492461,109.06567428462051
2024-01-04,105.79095323281369,105.96829638747671
2024-01-05,107.01763352926143,107.1955586749416
2024-01-09,113.10503450038334,113.27343108060744
2024-01-10,123.06158957321749,123.22302604823182
2024-01-11,135.3692818809098,135.4737385393815
2024-01-12,141.24201380015333,141.35437309873728
2024-01-15,147.8660874009711,147.95821617519468
2024-01-16,141.7071300792231,141.8292068650107
2024-01-17,138.9777664196269,139.10439123418047
2024-01-18,140.66445182724252,140.79187773259363
2024-01-19,147.62586250958344,147.68062016182674
2024-01-22,158.364426271403,158.3607290240851
2024-01-23,157.0559672885254,157.0677200060326
2024-01-24,151.88346537183745,151.89568417426995
2024-01-25,151.15767952977254,151.17978158727453
2024-01-26,141.49246102734475,141.52969795776067
2024-01-29,147.62075134168157,147.64409652076236
2024-01-30,146.91029900332225,146.94280330313936
2024-01-31,153.40659340659343,153.4224592818561
2024-02-01,145.29005877843088,145.2991481666235
2024-02-02,148.76565295169945,148.76908797869248
2024-02-05,153.34014822386914,153.34940851167102
2024-02-06,147.8814209046767,147.9070824749203
2024-02-07,148.75543061589573,148.78369817133265
2024-02-08,161.66112956810633,161.6699569307035
2024-02-09,162.22335803731153,162.23245197845338
2024-02-13,185.7602862254025,185.64541115431058
2024-02-14,178.1599795553284,178.164951837819
2024-02-15,185.6120623562484,185.62349615969887
2024-02-16,195.49706107845643,195.40507293239614
2024-02-19,193.5241502683363,193.43999158670516
2024-02-20,193.29925888065424,193.22083761703684
2024-02-21,188.5816509072323,188.50902576261768
2024-02-22,206.17940199335547,206.05596239533273
2024-02-26,208.63787375415282,208.5104886560282
2024-02-27,209.54255047278303,209.41632494210634
2024-02-28,207.25274725274727,207.1225125451385
2024-02-29,209.28699207768977,209.1606457067605
2024-03-01,226.23051367237412,225.9989833517506
2024-03-04,229.85433171479684,229.60041501084066
2024-03-05,229.98211091234347,229.7246012833117
2024-03-06,228.745208280092,228.4827284667422
2024-03-07,216.44773830820344,216.23201693111284
2024-03-08,219.9744441604907,219.76039800362744
2024-03-11,196.69307436749298,196.36204912894942
2024-03-12,195.80884232047023,195.47812732841595
2024-03-13,192.71658573984155,192.4318861120685
2024-03-14,197.89419882443138,197.61122688883316
2024-03-15,193.48837209302326,193.21353526673008
2024-03-18,218.06797853309484,217.7295699385238
2024-03-19,219.96422182468694,219.61429588289553
2024-03-21,243.33248147201635,243.06378142879956
2024-03-22,246.68540761564017,246.39492437116277
2024-03-25,231.0503450038334,230.7984582916161
2024-03-26,233.0181446460516,232.77084576028417
2024-03-27,238.99821109123437,238.70261505404721
2024-03-28,233.86148734985946,233.6182398052914
2024-03-29,237.6999744441605,237.45343597523737
2024-04-01,224.51827242524917,224.31149720155398
2024-04-02,225.70917454638385,225.50954042187757
2024-04-03,216.2586250958344,216.07130541226854
2024-04-04,223.04114490161,222.8358605743757
2024-04-05,202.7344748274981,202.6006352279443
2024-04-08,211.8067978533095,211.70283344670312
2024-04-09,221.0426782519806,220.91461014681784
2024-04-10,215.30283669818556,215.1946890608964
2024-04-11,212.01635573728598,211.91468300244267
2024-04-12,215.24150268336314,215.13624815808873
2024-04-15,207.7025300281114,207.63387277103357
2024-04-16,188.6532072578584,188.61860490091902
2024-04-17,177.0457449527217,176.988828748822
2024-04-18,183.73115256836186,183.64380693726585
2024-04-19,161.7224635829287,161.60421231913165
2024-04-22,167.82008688985434,167.7478307765513
2024-04-23,170.13033478149757,170.06355938581206
2024-04-24,187.40097112190136,187.3767303931524
2024-04-25,170.0230002555584,170.03433756526942
2024-04-26,175.6350626118068,175.659292796224
2024-04-30,186.99718885765398,187.00416917478637
2024-05-01,181.56912854587273,181.5837579591289
2024-05-02,181.15512394582163,181.16736461207762
2024-05-07,195.21594684385383,195.20783536951362
2024-05-08,180.76156401737796,180.7801921360913
2024-05-09,177.30130334781498,177.32486258831156
2024-05-10,181.30334781497572,181.33538176725023
2024-05-13,178.8397648862765,178.87355086413223
2024-05-14,182.67314081267568,182.70874647097094
2024-05-15,184.10426782519806,184.1332480024441
2024-05-16,194.6077178635318,194.674557900065
2024-05-17,191.3723485816509,191.4383834400677
2024-05-20,198.37464860720675,198.43670261867837
2024-05-21,195.52772808586764,195.58039479934996
2024-05-22,188.60720674674164,188.69165235470751
2024-05-23,198.66087400971122,198.7362147031769
2024-05-24,187.71786353181704,187.79312103112784
2024-05-27,194.5668285203169,194.6672544237105
2024-05-28,192.84947610529005,192.94324228508322
2024-05-29,185.1520572450805,185.25093479528337
2024-05-30,174.99105545617172,175.1187108695386
2024-05-31,184.6204957832865,184.76879554596698
2024-06-03,193.87682085356502,194.060927287563
2024-06-04,189.79810886787632,189.97735559110117
2024-06-05,184.93738819320217,185.11944083173398
2024-06-06,189.87477638640428,190.05040813894783
2024-06-07,187.55430615895733,187.72006894997455
2024-06-10,194.9092767697419,195.0105945661999
2024-06-11,198.89087656529517,198.87501226289126
2024-06-12,193.88704318936877,193.8490787504857
2024-06-13,188.77076411960132,188.72817926807883
2024-06-14,191.28034755941732,191.23384026382223
2024-06-17,173.47303858931767,173.44583449464866
2024-06-18,181.27268080756454,181.21849909948259
2024-06-19,183.1024789164324,183.04478288970736
2024-06-20,185.55583950932788,185.4993090927321
2024-06-21,185.34117045744952,185.28745960678273
2024-06-24,188.20853565039613,188.16568350544637
2024-06-25,196.7901865576284,196.71999654269757
2024-06-26,206.95629951443902,206.85952548849804
2024-06-27,202.21313570150778,202.1404081046001
2024-06-28,205.9391771019678,205.86602764531477
2024-07-01,207.92742141579353,207.8603300842054
2024-07-02,217.8430871454127,217.73687394765219
2024-07-03,229.28699207768975,229.16941197589114
2024-07-04,236.3455149501661,236.1969515781789
2024-07-05,235.58906210069003,235.44452256923148
2024-07-08,235.31305903398928,235.1815381008573
2024-07-09,254.3572706363404,254.20411214479145
2024-07-10,262.7600306670074,262.56849254958496
2024-07-11,274.2857142857143,274.0740811006424
2024-07-12,240.65934065934064,240.90145891684668
2024-07-16,242.37669307436752,242.632776748834
2024-07-17,238.32864809608995,238.59303564274884
2024-07-18,217.25530283669818,217.59807487439016
2024-07-19,212.66036289292103,212.96661952962995
2024-07-22,199.83133145923844,200.10227504196388
2024-07-23,201.1295681063123,201.4025896507553
2024-07-24,191.92435471505237,192.19811870892488
2024-07-25,162.6271403015589,162.79494706371912
2024-07-26,161.90646562739585,162.04982319536217
2024-07-29,175.8446204957833,176.0537686528421
2024-07-30,176.63174035267056,176.83541745652005
2024-07-31,191.18323536928187,191.40916338115684
2024-08-01,164.46716074623052,164.77463954760114
2024-08-02,126.93074367492972,126.98517263361605
2024-08-05,58.998211091234346,54.97845017607271
2024-08-06,78.98287758752875,77.36869065576168
2024-08-07,87.40608228980322,85.28745738150408
2024-08-08,84.29338103756709,82.26313088064757
2024-08-09,87.10963455149502,85.00255648158391
2024-08-13,99.61666240736008,97.1071661819497
2024-08-14,101.49757219524662,98.93344997454535
2024-08-15,104.73294147712753,102.07465824332115
2024-08-16,122.41758241758242,119.24903184121416
2024-08-19,109.8287758752875,106.9398784642424
2024-08-20,121.4106823409149,118.22631323735855
2024-08-21,119.90288780986455,116.75798144163392
2024-08-22,123.41426015844621,120.17678473960439
2024-08-23,125.89828775875287,122.60208925718419
2024-08-26,120.69000766675184,117.51771441056059
2024-08-27,124.23204702274471,120.96573820951504
2024-08-28,125.20316892409915,121.91540634979125
2024-08-29,124.91694352159467,121.6378110653031
2024-08-30,129.961666240736,126.53225141214276
2024-09-02,129.6652185024278,126.24735139486319
