date,fang_start_100,sbi-nasdaq_start_100
2026-05-21,100.0,100.0
2026-05-22,100.75250745459473,100.0
2026-05-25,100.00759013282732,100.27
2026-05-26,100.07481702358363,100.35000041950002
2026-05-27,103.10870154513418,102.28000086906812
2026-05-28,104.1463811330984,102.40000088008773
2026-05-29,105.09081051775549,103.08000139793208
2026-06-01,107.15532664678776,103.50000189442794
2026-06-02,108.8349146110057,104.3100022242539
2026-06-03,108.57793439956626,104.9600027014142
2026-06-04,107.2323122797506,104.65000228383555
2026-06-05,104.88804554079695,104.15000236342378
2026-06-08,99.5424234209813,99.41000244386132
2026-06-09,101.04960693955,100.93000225732848
2026-06-10,99.79072919490378,99.88000221134494
2026-06-11,97.35646516671184,98.0100018663431
2026-06-12,99.7072377338032,100.95000201172768
2026-06-15,98.86473298997018,101.61000202038014
2026-06-16,103.38194632691786,104.79000185291021
2026-06-17,101.36730821360803,102.94000143579827
2026-06-18,100.4944429384657,102.14000115583993
2026-06-19,103.72024939007862,104.90000068927272
2026-06-22,103.99024125779344,105.18000082011253
2026-06-23,101.27947953374898,105.00000102570904
2026-06-24,98.7920845757658,101.57000064220252
2026-06-25,98.10246679316889,101.22000057698955
2026-06-26,97.32827324478178,102.03000047300684
2026-06-29,97.78910273786934,100.8300001299437
2026-06-30,99.6345893195988,103.49999970768462
2026-07-01,100.50528598536188,105.45999990214898
2026-07-02,101.62320412035781,103.79999939148922
2026-07-03,100.69287069666576,101.2499998204382
2026-07-06,100.88262401734886,101.43999949510125
2026-07-07,102.34426673895365,103.07999924053846
2026-07-08,102.54052588777446,101.40999914204252
2026-07-09,102.80618053673084,101.78999863442762
2026-07-10,103.65519110870154,103.18999893554579
2026-07-13,103.99024125779344,103.50999937744483
2026-07-14,103.20303605313093,101.69999972103099
2026-07-15,104.36649498509081,102.7099997072605
2026-07-16,105.54621848739497,102.44999961400154
2026-07-17,103.96747085931146,100.9699997480777
2026-07-21,102.52751423149905,99.52999994147054
2026-07-22,104.0065058281377,101.86000022600035
2026-07-23,102.86148007590133,101.26000000626911
2026-07-24,101.44971537001896,99.90000023598492
2026-07-27,100.50311737598265,98.56000057381956
2026-07-28,101.08647329899702,98.33000095648049
2026-07-29,100.2136080238547,97.29000091846416
2026-07-30,98.41040932502032,95.19000111313916
2026-07-31,99.54459203036053,96.71000076231383
2026-08-03,98.12089997289239,94.29000030153823
2026-08-04,101.96476009758742,96.97000026560883
2026-08-05,106.53727297370561,100.28999998300259
2026-08-06,106.12849010571969,99.59999976861953
2026-08-07,106.6218487394958,99.74999936027106
2026-08-10,107.9143399295202,100.51999953033281
2026-08-12,108.04011927351587,100.74999934125815
2026-08-13,107.43724586608836,101.49999946385438
2026-08-14,109.55380862022228,102.67999988762135
2026-08-17,108.2862564380591,102.34999971638254
2026-08-18,107.63350501490918,102.41999995168858
2026-08-19,106.14041745730552,100.65000004492349
2026-08-20,106.13608023854704,99.83000046855747
2026-08-21,106.22933044185416,99.54000030699636
2026-08-24,106.43643263757116,99.66000075436646
2026-08-25,105.90187042558958,98.9600008682679
2026-08-26,106.49173217674166,99.53000057726902
2026-08-27,106.82461371645434,99.61000080113303
2026-08-28,108.65383572783954,101.17000099247966
2026-08-31,109.84982380048794,100.85000129104047
2026-09-01,109.21875847113039,100.80000086890037
2026-09-02,108.49227432908648,99.80000135628033
2026-09-03,107.5608566007048,99.05000135208786
2026-09-04,107.50555706153429,98.29000158721342
2026-09-07,106.60666847384115,98.67000154524976
2026-09-08,105.09514773651397,97.27000150762466
2026-09-09,104.10517755489292,97.15000145216473
2026-09-10,104.20927080509624,96.86000189732992
