date,rakuten-sp_start_100,fang_start_100
2023-10-27,100.0,100.0
2023-10-30,99.17071197411003,100.9810966172894
2023-10-31,100.13147249190939,102.06444837497237
2023-11-01,102.0529935275081,103.56511165155871
2023-11-02,102.52831715210355,105.21501216007074
2023-11-06,104.81391585760518,107.68848109661728
2023-11-07,105.33980582524272,108.31030289630776
2023-11-08,106.0275080906149,110.82522661950034
2023-11-09,106.38147249190939,111.64603139509175
2023-11-10,105.78478964401295,110.97722750386912
2023-11-13,107.65574433656957,114.19688260004422
2023-11-14,107.59506472491908,114.0559363254477
2023-11-15,108.8794498381877,115.87165598054389
2023-11-16,109.57726537216827,116.41609551182843
2023-11-17,109.3042071197411,116.05958434667257
2023-11-20,108.84911003236246,115.54830864470485
2023-11-21,108.40412621359224,115.95732920627901
2023-11-22,108.29288025889967,115.6146363033385
2023-11-24,109.64805825242718,116.83340703073182
2023-11-27,109.63794498381878,116.47965951801902
2023-11-28,108.44457928802589,115.07019677205395
2023-11-29,107.62540453074433,114.81041344240548
2023-11-30,107.64563106796116,114.3571744417422
2023-12-01,108.66707119741102,114.67223082025204
2023-12-04,108.22208737864078,113.06654875082909
2023-12-05,108.20186084142395,112.15730709705947
2023-12-06,108.23220064724919,112.95323900066327
2023-12-07,107.7467637540453,111.73999557815608
2023-12-08,105.71399676375404,110.89155427813398
2023-12-11,107.7467637540453,113.64415211143046
2023-12-12,108.53559870550163,114.26321025867787
2023-12-13,108.84911003236246,115.41012602255141
2023-12-14,107.95914239482201,114.2604466062348
2023-12-15,108.29288025889967,114.53957550298475
2023-12-18,107.96925566343043,115.1448153880168
2023-12-19,108.88956310679612,117.15122706168472
2023-12-20,110.56836569579286,118.90061905814724
2023-12-21,108.55582524271846,116.65929692681848
2023-12-22,108.79854368932038,117.22031837276144
2023-12-25,108.89967637540454,116.75326110988283
2023-12-26,108.9401294498382,116.78918859164271
2023-12-27,109.7997572815534,117.91675878841477
2023-12-28,109.24352750809061,117.33639177537032
2023-12-29,109.28398058252426,117.10148131770947
2024-01-04,108.69741100323624,113.43687817820032
2024-01-05,109.54692556634305,114.09462745965067
2024-01-09,110.48745954692556,117.02686270174662
2024-01-10,110.8717637540453,117.92228609330091
2024-01-11,112.25728155339804,119.89000663276586
2024-01-12,111.9336569579288,119.93698872429803
2024-01-15,111.90331715210355,119.50862259562238
2024-01-16,112.47977346278317,120.10280787088217
