date,sbi-sp_start_100,sbi-nasdaq_start_100
2026-05-21,100.0,100.0
2026-05-22,100.333064,100.0
2026-05-25,100.55258371405624,100.27
2026-05-26,100.62071010057419,100.35000041950002
2026-05-27,101.47103257887082,102.28000086906812
2026-05-28,101.67288991869027,102.40000088008773
2026-05-29,102.0816505216749,103.08000139793208
2026-06-01,102.35668094614341,103.50000189442794
2026-06-02,102.81590624234187,104.3100022242539
2026-06-03,103.10607534925715,104.9600027014142
2026-06-04,102.38191292222392,104.65000228383555
2026-06-05,102.81085935133673,104.15000236342378
2026-06-08,100.36081899891316,99.41000244386132
2026-06-09,100.57276900534058,100.93000225732848
2026-06-10,100.36081893475566,99.88000221134494
2026-06-11,98.88473910728437,98.0100018663431
2026-06-12,100.26998377432182,100.95000201172768
2026-06-15,100.8175210558194,101.61000202038014
2026-06-16,102.6367581006435,104.79000185291021
2026-06-17,102.14725466296926,102.94000143579827
2026-06-18,101.13544626810322,102.14000115583993
2026-06-19,102.35415873626776,104.90000068927272
2026-06-22,102.6266654249456,105.18000082011253
2026-06-23,102.34658904486768,105.00000102570904
2026-06-24,100.91088030493928,101.57000064220252
2026-06-25,100.91592685806334,101.22000057698955
2026-06-26,100.9689147837787,102.03000047300684
2026-06-29,100.3305418491257,100.8300001299437
2026-06-30,102.328926584982,103.49999970768462
2026-07-01,103.41138550605105,105.45999990214898
2026-07-02,103.15906379364401,103.79999939148922
2026-07-03,102.19267277879706,101.2499998204382
2026-07-06,102.38948360344831,101.43999949510125
2026-07-07,103.6081959338299,103.07999924053846
2026-07-08,103.22466740277771,101.40999914204252
2026-07-09,103.05813504685682,101.78999863442762
2026-07-10,103.61828795885835,103.18999893554579
2026-07-13,104.08508212901573,103.50999937744483
2026-07-14,103.41643019376154,101.69999972103099
2026-07-15,103.6965067066695,102.7099997072605
2026-07-16,104.13302233647654,102.44999961400154
2026-07-17,103.76967931227968,100.9699997480777
2026-07-21,102.60395460191177,99.52999994147054
2026-07-22,103.87313063499286,101.86000022600035
2026-07-23,103.68893656736304,101.26000000626911
2026-07-24,102.97738990417811,99.90000023598492
2026-07-27,102.85627613636402,98.56000057381956
2026-07-28,102.96477407924647,98.33000095648049
2026-07-29,103.13130621589902,97.29000091846416
2026-07-30,101.46093898346014,95.19000111313916
2026-07-31,101.38776535426528,96.71000076231383
2026-08-03,98.98314259845928,94.29000030153823
2026-08-04,101.43570632267544,96.97000026560883
2026-08-05,103.35334835070562,100.28999998300259
2026-08-06,103.30288401130643,99.59999976861953
2026-08-07,103.68388880720347,99.74999936027106
2026-08-10,103.8806994912595,100.51999953033281
2026-08-12,104.46608489261166,100.74999934125815
2026-08-13,104.73354523111884,101.49999946385438
2026-08-14,105.44761435316279,102.67999988762135
2026-08-17,105.04642308721404,102.34999971638254
2026-08-18,104.81176408453643,102.41999995168858
2026-08-19,104.04975321234791,100.65000004492349
2026-08-20,103.65360874893265,99.83000046855747
2026-08-21,103.2170923064083,99.54000030699636
2026-08-24,103.39624002049896,99.66000075436646
2026-08-25,103.39371715224246,98.9600008682679
2026-08-26,103.64856198627932,99.53000057726902
2026-08-27,103.70911865861979,99.61000080113303
2026-08-28,104.52159352474159,101.17000099247966
2026-08-31,104.7032645968788,100.85000129104047
2026-09-01,104.2137611293987,100.80000086890037
2026-09-02,103.84789475178889,99.80000135628033
2026-09-03,103.28521778061317,99.05000135208786
2026-09-04,102.36929169929994,98.29000158721342
2026-09-07,102.15734222299405,98.67000154524976
2026-09-08,100.71154102728809,97.27000150762466
2026-09-09,100.15138746455597,97.15000145216473
2026-09-10,99.69216230610087,96.86000189732992
