date,rakuten-vti_start_100,fang_start_100
2023-09-11,100.0,100.0
2023-09-12,100.45723394437687,101.88872921371382
2023-09-13,100.37333780779396,100.73906795319236
2023-09-14,100.28944167121104,101.0162184356395
2023-09-15,101.45140316288435,101.56538698419214
2023-09-19,100.33977935316078,99.3250872510778
2023-09-20,100.15940265950753,99.23013754875795
2023-09-21,99.6686102604975,97.60316156846643
2023-09-22,97.46214186836696,94.75467049887087
2023-09-25,97.7977264146986,95.24738246766577
2023-09-26,98.48567473467847,96.29696160952577
2023-09-27,97.15172616301018,94.65715458838021
2023-09-28,97.62154452787449,95.03695339765962
2023-09-29,98.21720709761316,96.10962841305687
2023-10-02,98.07038885859306,96.53048655306918
2023-10-03,98.02424598347245,97.94190104701293
2023-10-04,96.20789462645246,95.59125436255388
2023-10-05,96.627375309367,97.05912543625539
2023-10-06,96.4973362976635,96.84099774173681
2023-10-10,98.1668694156634,99.68435639499076
2023-10-11,98.80867486052267,99.8870868404845
2023-10-12,99.59729854440204,101.28053787723259
2023-10-13,99.24493477075382,101.45504003284746
2023-10-16,98.4605058937036,99.18394580168344
2023-10-17,99.59729854440204,100.77499486758366
2023-10-18,99.89512982927137,99.93584479572984
2023-10-19,98.43953185955787,97.77509751591049
2023-10-20,97.56281723226645,97.99322521042907
2023-10-23,96.30856999035194,96.10706220488606
2023-10-24,95.96459583036201,97.11814822418394
2023-10-25,96.83711565082427,98.47053993019914
2023-10-26,95.58286840890977,95.3320673373024
2023-10-27,94.64742648601032,92.85567645247383
2023-10-30,93.8168547338395,93.76668035311025
2023-10-31,94.67679013381434,94.77263395606653
2023-11-01,96.53089475229666,96.16608499281462
2023-11-02,96.95037543521121,97.69811127078628
2023-11-06,99.36658416879902,99.99486758365839
2023-11-07,99.68958429464323,100.57226442208993
2023-11-08,100.36075338730652,102.90751385752412
2023-11-09,100.62083141071354,103.66967768425374
2023-11-10,99.9916103863417,103.04865530691849
2023-11-13,101.66533831117077,106.03828782590843
2023-11-14,101.64436427702503,105.90741120919729
2023-11-15,103.14191031502999,107.59340997741738
2023-11-16,103.85922228281387,108.09895298706631
2023-11-17,103.39359872477874,107.76791213303223
2023-11-20,103.09576743990941,107.29316362143297
2023-11-21,102.65531272284912,107.67296243071239
2023-11-22,102.49171525651244,107.35475261753234
2023-11-24,103.81307940769327,108.48645042085813
2023-11-27,103.84663786232645,108.15797577499487
2023-11-28,102.7643777004069,106.8492096078834
2023-11-29,101.99672805067325,106.60798603982755
2023-11-30,102.12676706237677,106.18712789981524
2023-12-01,103.10835186039682,106.47967563128722
2023-12-04,102.94055958723101,104.98870868404846
2023-12-05,103.09157263308025,104.144426195853
2023-12-06,102.96992323503503,104.88349414904536
2023-12-07,102.4707412223667,103.75692876206118
2023-12-08,100.55790930827635,102.96910285362348
2023-12-11,102.54205293846219,105.52504619174708
2023-12-12,103.30131297453752,106.09987682200781
2023-12-13,103.51524812282393,107.16485321289262
2023-12-14,102.86924787113554,106.09731061383701
2023-12-15,103.47749486136163,106.35649763908847
2023-12-18,103.12093628088425,106.91849722849518
2023-12-19,103.92214438525107,108.78156436050092
2023-12-20,105.65879441251731,110.40597413262164
2023-12-21,103.68723520281891,108.32477930609731
2023-12-22,103.95570283988422,108.84571956477109
2023-12-25,104.10671588573346,108.41203038390475
2023-12-26,104.14446914719578,108.44539109012523
2023-12-27,105.03796300180377,109.49240402381442
2023-12-28,104.53878098913545,108.95350030794498
2023-12-29,104.47585888669826,108.7353726134264
2024-01-04,103.54880657745711,105.33258057893657
2024-01-05,104.42132639791937,105.94333812358857
2024-01-09,105.31062544569822,108.66608499281463
2024-01-10,105.62943076471329,109.49753644015603
2024-01-11,106.87528839296951,111.32467665777048
2024-01-12,106.56487268761275,111.3683021966742
2024-01-15,106.47258693737155,110.97053993019914
2024-01-16,107.00952221150214,111.5222746869226
2024-01-17,107.62615881538655,112.3460275097516
2024-01-18,107.57162632660766,112.32036542804353
2024-01-19,108.4693149880448,113.77283925272017
2024-01-22,109.79487394605478,116.25179634571955
2024-01-23,110.23532866311507,116.52381441182509
2024-01-24,110.44926381140148,117.60675425990557
2024-01-25,110.2017702084819,119.45955655922809
2024-01-26,110.69256260749192,118.96684459043318
2024-01-29,111.00717311967784,119.07205912543625
2024-01-30,111.35953689332607,120.32180250461917
2024-01-31,111.3343680523512,119.38000410593308
2024-02-01,108.94332815973824,115.42291110654897
2024-02-02,110.1388481060447,116.91901047012934
2024-02-05,112.79416082889382,124.47905974132622
2024-02-06,112.20269306598432,124.20447546704989
2024-02-07,111.97617349721045,122.8931430917676
2024-02-08,113.0668232727883,125.30537877232601
2024-02-09,114.39657703762742,126.81687538493122
2024-02-13,115.09291497126557,127.88955040032847
2024-02-14,114.2287847644616,127.1402176144529
2024-02-15,115.34040857418515,129.52422500513242
2024-02-16,116.04933092831075,129.60890987476904
2024-02-19,115.26490205126055,128.11024430301785
2024-02-20,115.5291748814967,128.41049065900225
2024-02-21,114.6356810268887,125.94693081502773
2024-02-22,114.95868115273291,125.76216382672962
2024-02-26,117.16095473803432,131.1742968589612
2024-02-27,117.03511053315995,131.35136522274686
2024-02-28,117.23646126095892,131.7901868199548
2024-02-29,117.1693443516926,130.97669882980907
2024-03-01,117.38747430680819,129.67306507903922
2024-03-04,118.28516296824532,131.93646068569083
2024-03-05,118.43198120726541,130.9125436255389
2024-03-06,116.88829229413986,127.60213508519811
2024-03-07,116.77922731658208,127.1453500307945
2024-03-08,117.00155207852679,129.27273660439334
2024-03-11,115.50820084735098,125.42855676452473
2024-03-12,115.34460338101431,124.18137959351263
2024-03-13,117.02252611267252,127.47382467665777
2024-03-14,116.99316246486848,126.61927735577909
2024-03-15,117.25743529510466,127.06066516115789
2024-03-18,117.1315910902303,126.09577088893451
2024-03-19,117.69369520533579,128.1949291726545
2024-03-21,120.77268341792859,132.28546499692055
2024-03-22,121.90947606862703,132.71402176144528
2024-03-25,121.3977096354713,133.48131800451654
2024-03-26,121.04534586182308,133.0604598645042
2024-03-27,121.0201770208482,132.77047834120305
2024-03-28,122.0437098871597,132.59084376924656
2024-03-29,122.03112546667225,131.93902689386164
2024-04-01,122.04790469398885,131.94929172654486
2024-04-02,122.2198917739838,133.1323136932868
2024-04-03,120.9656445320693,131.58489016629028
2024-04-04,121.26347581693864,132.55491685485526
2024-04-05,119.22060489114476,130.17604188051735
2024-04-08,121.06212508913966,132.80897146376515
2024-04-09,121.34737195352155,133.23752822828988
2024-04-10,121.38932002181299,133.23239581194827
2024-04-11,120.97822895255675,133.6198932457401
2024-04-12,121.86333319350643,137.10737014986657
2024-04-15,120.39515080330551,135.45729829603778
2024-04-16,119.66105960820504,132.68835967973723
2024-04-17,119.58555308528042,132.8397659618148
2024-04-18,118.6333319350644,130.85095462943954
2024-04-19,118.6165527077478,130.19657154588378
2024-04-22,117.71466923948152,125.3387394785465
2024-04-23,118.90599437895885,126.3523917060152
2024-04-24,120.3280338940392,129.11363169780333
2024-04-25,120.87755358865724,130.54300964894273
2024-04-26,120.48324174671757,130.02720180661055
2024-04-30,122.97495700323,136.05522479983577
2024-05-01,121.77524225009438,133.61732703756928
2024-05-02,120.05956625697387,131.548963251899
2024-05-07,122.44221653592852,137.18179018681994
2024-05-08,123.22245060614958,137.1920550195032
2024-05-09,123.69226897101389,137.68220078012726
2024-05-10,124.45991862074752,137.40248408950936
2024-05-13,124.79969797390831,137.62317799219872
2024-05-14,125.1688409748731,138.6676247177171
2024-05-15,125.91551659046101,140.33052761239992
2024-05-16,125.35341247535553,139.84808047628823
2024-05-17,126.34758169386299,140.79501129131594
2024-05-20,126.79642602458156,141.00800656949292
2024-05-21,127.39628340114936,142.70940258673784
2024-05-22,127.53051721968203,143.6281051118867
2024-05-23,127.57246528797349,143.1944159310203
2024-05-24,126.68316624019465,142.48614247587764
2024-05-27,127.36272494651621,144.36973927324985
2024-05-28,127.41725743529511,144.42876206117842
2024-05-29,127.79059524308907,145.69646889755697
2024-05-30,126.91807542262679,145.44498049681792
2024-05-31,125.59251646461679,142.01396017244917
2024-06-03,126.91388061579765,141.20303839047423
2024-06-04,126.38114014849616,141.62133032231574
2024-06-05,125.42472419145099,140.91818928351466
2024-06-06,127.35014052602878,144.47495380825293
2024-06-07,127.26204958261671,144.44929172654486
2024-06-10,128.00033558454632,145.20632313693287
2024-06-11,128.69247871135534,145.776021350852
2024-06-12,128.8099333025714,147.29008417162802
2024-06-13,129.75795964595832,149.56374461096286
2024-06-14,130.16905071521455,152.1864093615274
2024-06-17,130.24875204496834,153.47721207144323
2024-06-18,131.41490834347078,156.39499076165058
2024-06-19,131.9308695834557,156.01519195237117
2024-06-20,132.0986618566215,156.2102237733525
2024-06-21,132.5517009941692,155.22223362759186
2024-06-24,132.9921557112295,155.18630671320057
2024-06-25,132.50136331221947,152.337815643605
2024-06-26,133.12219472293302,154.82190515294602
2024-06-27,133.9527664751038,158.46848696366249
2024-06-28,134.51067578338018,160.04413878053788
2024-07-01,134.13733797558623,158.6301580784233
2024-07-02,134.80850706824953,162.70016423732295
2024-07-03,135.50484500188767,165.34335865325397
2024-07-04,135.94529971894792,167.98911927735577
2024-07-05,135.68941650237008,167.67347567234654
2024-07-08,136.05855950333486,169.52627797166906
2024-07-09,136.39414404966652,169.74697187435845
2024-07-10,136.86815722135998,170.76319030999792
2024-07-11,138.34892403204833,172.31574625333607
2024-07-12,135.49226058140022,163.56754259905563
2024-07-16,136.39833885649566,163.4084376924656
2024-07-17,137.6106380301187,163.19544241428866
2024-07-18,133.3612987121943,155.18374050502976
2024-07-19,133.58362347413902,156.19995894066926
2024-07-22,132.78661017660136,154.41644426195853
2024-07-23,133.4913377238978,156.89026893861632
2024-07-24,132.6523763580687,156.2897762266475
2024-07-25,127.57666009480263,145.2987066310819
2024-07-26,127.72347833382274,145.19092588790804
2024-07-29,128.93577750744578,145.7785875590228
2024-07-30,129.21682956499853,147.12071443235476
2024-07-31,127.30399765090819,142.96345719564772
2024-08-01,126.8006208314107,145.14730034900433
2024-08-02,124.73677587147111,141.1542804352289
2024-08-05,118.91438399261713,133.37866967768426
2024-08-06,115.03418767565753,127.68168753849312
2024-08-07,117.85309786484332,131.19226031615685
2024-08-08,116.28004530391377,128.74923013754875
2024-08-09,120.19380007550653,134.61301580784232
2024-08-13,120.36998196233064,135.79860398275508
2024-08-14,122.19052812617979,139.81728597823854
2024-08-15,122.76102185494358,139.95329501129132
2024-08-16,126.36016611435043,145.17296243071237
2024-08-19,125.64285414656655,144.45955655922808
2024-08-20,125.55895800998364,145.48090741120922
2024-08-21,124.52703553001385,144.51088072264423
2024-08-22,124.98846428121986,145.11393964278383
2024-08-23,124.66546415537564,140.82837199753644
2024-08-26,123.89781450564202,140.1765551221515
2024-08-27,124.70321741683796,139.9763908848286
2024-08-28,124.30890557489826,139.0089304044344
2024-08-29,123.77197030076765,137.17152535413672
2024-08-30,124.12433407441587,137.3485937179224
2024-09-02,126.56571164897856,140.95924861424757
2024-09-03,127.36272494651621,141.84459043317594
2024-09-04,123.13016485590838,135.31102443030179
2024-09-05,121.49838499937078,134.13056867173066
2024-09-06,120.65942363354168,135.22890576883597
2024-09-09,118.27257854775787,129.13416136316977
2024-09-10,120.16024162087335,131.6644426195853
2024-09-11,119.44712445991863,132.3829809074112
2024-09-12,121.25928101010948,136.4786491480189
2024-09-13,121.14182641889342,137.25621022377334
2024-09-17,121.55711229497881,136.2194621227674
2024-09-18,122.41285288812452,137.44097721207146
2024-09-19,123.84747682369226,138.7856702935742
2024-09-20,125.17303578170225,142.45278176965715
2024-09-24,126.07911405679768,143.65120098542394
2024-09-25,126.03716598850623,143.96427838226236
2024-09-26,126.74608834263181,144.9625333607062
2024-09-27,128.11779017576242,145.6708068158489
2024-09-30,125.48764629388816,141.92670909464175
2024-10-01,127.19073786652125,143.81030589201396
2024-10-02,125.88195813582786,141.28515705194005
2024-10-03,128.70086832501363,145.19605830424965
2024-10-04,128.0800369143001,145.62974748511598
2024-10-07,130.85699903519443,150.05132416341613
2024-10-08,129.16229707621966,147.210531718333
2024-10-09,130.56336255715425,150.62102237733527
2024-10-10,132.50136331221947,153.13590638472593
2024-10-11,131.52397332102856,153.48491069595565
2024-10-15,134.51906539703847,154.83986861014165
2024-10-16,133.25642854146565,152.30188872921372
2024-10-17,134.246402953144,152.66629028946826
2024-10-18,134.65749402240027,153.52597002668858
2024-10-21,134.55262385167163,154.81677273660438
2024-10-22,135.3076890809178,157.13662492301376
2024-10-23,135.7187801501741,158.07842332169986
2024-10-24,135.74814379797812,155.95873537261343
2024-10-25,135.55098787700825,156.63878053787724
2024-10-28,136.57032593649063,158.6275918702525
2024-10-29,136.6584168799027,158.08612194621227
2024-10-30,137.17857292671673,161.1912338328885
2024-10-31,137.13243005159612,161.01416546910286
2024-11-01,133.18092201854103,154.4395401354958
2024-11-05,133.8395066907169,155.77140217614453
2024-11-06,135.91174126431477,158.98172859782386
2024-11-07,141.33562649439992,164.99692055019503
2024-11-08,140.9455094592894,167.14996920550195
2024-11-11,141.6082889382944,166.22100184766987
2024-11-12,142.6402114182642,167.1268733319647
2024-11-13,143.13519862410337,169.60839663313487
2024-11-14,143.80636771676666,170.58098952987066
2024-11-15,143.72666638701287,171.03520837610347
2024-11-18,139.6451193422543,163.7420447546705
2024-11-19,140.328872855405,164.8763087661671
2024-11-20,141.36499014220396,168.34838842126874
2024-11-21,141.6460421997567,168.09946622870046
2024-11-22,142.07391249632954,167.41428864709505
2024-11-25,142.5227568270481,167.32190515294602
2024-11-26,143.20651034019883,166.33134879901456
2024-11-27,142.4682243382692,166.76760418805173
2024-11-28,141.02521078904314,163.12358858550607
2024-11-29,140.068794831998,162.0149866557175
2024-12-02,140.36243131003818,162.73865735988505
2024-12-03,140.38760015101303,164.50164237322932
2024-12-04,140.2533663324804,166.05933073290907
2024-12-05,141.72574352951045,170.40905358242662
2024-12-06,141.03360040270147,170.28844179839868
2024-12-09,141.22656151684214,172.01806610552248
2024-12-10,141.90612022316373,172.34397454321496
2024-12-11,141.6754058475607,172.26185588174914
2024-12-12,143.3239649314149,177.96140422911105
2024-12-13,143.08486094215363,177.7817696571546
2024-12-16,143.85251059188724,181.30517347567235
2024-12-17,144.7627836738118,186.5556353931431
2024-12-18,143.55467930701792,183.74307123793884
2024-12-19,140.1988338437015,177.3352494354342
2024-12-20,142.71991274801798,181.41808663518785
2024-12-23,143.21909476068626,182.21617737630876
2024-12-24,144.6579135030832,185.45216587969614
2024-12-25,146.13029070011325,188.04403613221103
2024-12-26,146.17643357523386,188.097926503798
2024-12-27,146.94827803179663,188.7856702935742
2024-12-30,145.35844624355047,185.67029357421475
2025-01-06,144.43558874113847,183.8482857729419
2025-01-07,145.69822559671127,187.7617532334223
2025-01-08,143.95318595578675,183.48645042085815
2025-01-09,144.393640672847,183.4787517963457
2025-01-10,144.1713159109023,183.18877027304455
2025-01-14,141.683795461219,177.36861014165467
2025-01-15,142.45983472461091,177.2941901047013
2025-01-16,143.58823776165107,180.3377129952782
2025-01-17,142.36754897436975,177.2916238965305
2025-01-20,144.45236796845504,180.74060767809485
2025-01-21,144.4649523889425,180.7585711352905
2025-01-22,145.38361508452536,182.0442414288647
2025-01-23,146.98603129325895,188.23906795319238
2025-01-24,147.5984730903142,189.13724081297474
2025-01-27,146.47845966693234,187.85413672757133
2025-01-28,144.00352363773646,180.39673578320674
2025-01-29,145.75275808549014,187.28700472182302
2025-01-30,144.2719912748018,184.3076370355163
2025-01-31,144.86345903771132,181.90566618764115
2025-02-03,145.2661604933093,183.94323547526176
2025-02-04,143.86928981920383,182.03397659618147
2025-02-05,143.71827677335457,183.26575651816876
2025-02-06,143.01354922605813,182.35475261753234
2025-02-07,142.13683459876674,182.03910901252308
2025-02-10,141.47824992659088,180.35054403613222
2025-02-12,143.52951046604304,184.36409361527407
2025-02-13,144.22165359285205,185.72418394580168
2025-02-14,144.12097822895257,186.41962636009032
2025-02-17,143.25265321531944,185.87045781153768
2025-02-18,143.02613364654556,185.57277766372408
2025-02-19,143.873484626033,184.93379182919318
2025-02-20,143.1226142036159,183.41972900841716
2025-02-21,141.1594446075758,180.01693697392733
2025-02-25,138.18532656571165,171.7229521658797
2025-02-26,136.29766349259614,167.56826113734346
2025-02-27,136.6332480389278,170.5578936563334
2025-02-28,134.909182432149,165.10470129336892
2025-03-03,137.79940433743025,169.0053377129953
2025-03-04,134.1625068165611,162.5359269143913
2025-03-05,133.0299089726918,163.4340997741737
2025-03-06,133.98632492973698,164.0397249024841
2025-03-07,130.45429757959647,156.0331554095668
2025-03-10,130.46268719325477,155.58920139601724
2025-03-11,126.30563362557155,147.50051324163417
2025-03-12,126.61604933092832,151.2805378772326
2025-03-13,127.43403666261169,155.28638883186204
2025-03-14,125.68480221485801,151.0598439745432
2025-03-17,128.79315407525485,156.45914596592075
2025-03-18,130.46268719325477,157.63190309997947
2025-03-19,129.19166072402365,154.63970437281873
2025-03-21,129.79571290742064,155.85865325395196
2025-03-24,130.49205084105878,157.4625333607062
2025-03-25,133.9234028272998,161.98419215766785
2025-03-26,133.48294811023953,162.97474851159924
2025-03-27,132.2538697092999,158.58140012317799
2025-03-28,132.1154410839381,157.63190309997947
2025-03-31,128.11779017576242,150.757031410388
2025-04-01,129.03645287134526,150.50041059330732
2025-04-02,129.489492008893,152.47382467665778
2025-04-03,128.75959562062167,151.7706836378567
2025-04-04,120.79365745207433,139.984089509341
2025-04-07,113.51147279667771,131.8132826934921
2025-04-08,114.68182390200931,135.41367275713407
2025-04-09,111.0491211879693,131.65161157873126
2025-04-10,123.58739880028524,151.1650585095463
2025-04-11,115.79344771173288,141.0285362348594
2025-04-14,117.47976005704936,143.68199548347363
2025-04-15,118.89760476530056,144.21320057483064
2025-04-16,118.10478627459204,144.47752001642374
2025-04-17,115.32362934686857,139.39642783822623
2025-04-18,115.50400604052184,137.92855676452473
2025-04-21,114.51403162884348,136.73783617327038
2025-04-22,111.56927723478334,133.2169985629234
2025-04-23,115.33621376735601,137.9901457606241
2025-04-24,118.0083057175217,143.60757544652023
2025-04-25,120.61747556525022,151.1342640114966
2025-04-28,121.82557993204412,154.290700061589
2025-04-30,121.79621628424012,153.46951344693082
2025-05-01,122.2912034900793,153.9493943748717
2025-05-02,125.57154243047108,160.5830424964073
2025-05-07,123.22664541297874,157.8731266680353
2025-05-08,124.26276269977767,158.41203038390475
2025-05-09,127.13620537774236,161.84305070827344
2025-05-12,127.11523134359663,161.1014165469103
2025-05-13,133.11380510927472,170.44498049681792
2025-05-14,133.4997273375561,173.7605214535003
2025-05-15,132.63559713075213,173.69893245740093
2025-05-16,132.08607743613408,171.70242250051325
2025-05-19,132.85792189269685,172.07452268528021
2025-05-20,133.3151558370737,172.73147197700678
2025-05-21,131.9224799697974,170.61948265243277
2025-05-22,128.80573849574228,168.26626975980292
2025-05-23,129.27136205377744,169.81625949497024
2025-05-26,127.471789924074,167.07554916854855
2025-05-27,127.13620537774236,166.63672757134057
2025-05-28,131.28906413859642,173.14206528433587
2025-05-29,132.32098661856622,175.20529665366456
2025-05-30,130.76471328495322,172.54670498870868
2025-06-02,130.43751835227988,172.64165469102855
2025-06-03,130.37459624984268,173.58345308971462
2025-06-04,132.34615545954108,176.19072059125435
2025-06-05,131.1674147405512,175.13600903305274
2025-06-06,131.38134988883763,176.38061999589408
2025-06-09,133.96535089559126,178.9160336686512
2025-06-10,133.89823398632493,178.42588790802708
2025-06-11,134.8168966819078,178.9109012523096
2025-06-12,133.69688325852596,178.04352289057687
2025-06-13,133.15994798439533,177.5559433381236
2025-06-16,132.82016863123454,176.9990761650585
2025-06-17,134.7413901589832,180.20940258673784
2025-06-18,133.8772599521792,180.1580784233217
2025-06-19,133.52070137170182,178.9519605830425
2025-06-20,133.91081840681235,179.48059946622868
2025-06-23,134.65749402240027,179.20088277561075
2025-06-24,135.22798775116408,180.1580784233217
2025-06-25,136.18859851503836,181.86460685690824
2025-06-26,135.79009186626956,183.2554916854855
2025-06-27,136.74650782331474,185.74214740299732
2025-06-30,137.58546918914385,187.70529665366456
2025-07-01,137.17018331305843,187.40505029768016
2025-07-02,137.17857292671673,184.08950934099775
2025-07-03,137.83296279206343,185.3187230548142
2025-07-04,139.9303662066362,189.611989324574
2025-07-07,139.71643105834977,189.31430917676042
2025-07-08,140.22400268467635,190.0251488400739
2025-07-09,140.9832627207517,190.18681995483473
2025-07-10,140.8993665841688,191.1029562718128
2025-07-11,142.0235748143798,189.69410798603982
2025-07-14,141.76769159780193,189.44261958530075
2025-07-15,142.74088678216367,190.91562307534386
2025-07-16,143.2946012836109,193.66659823444877
2025-07-17,143.31557531775664,192.68374050502976
2025-07-18,144.42300432065102,194.03869841921576
2025-07-22,143.31977012458577,193.79490864298913
2025-07-23,142.51856202021898,190.02771504824472
2025-07-24,143.73925080750033,190.40751385752412
2025-07-25,144.59079659381686,193.85906384725928
2025-07-28,145.57657619866603,194.20036953397658
2025-07-29,146.29388816644993,196.44580168343256
2025-07-30,145.547212550862,195.38595770888932
2025-07-31,146.49523889424893,197.31318004516527
2025-08-01,147.22513528252023,199.56374461096286
2025-08-04,141.76349679097277,190.25867378361733
2025-08-05,143.33654935190233,193.06610552247997
2025-08-06,143.33654935190233,191.65469102853623
2025-08-07,144.34330299089726,195.40392116608498
2025-08-08,143.86090020554553,193.85136522274686
2025-08-12,145.6101346532992,197.03346335454734
2025-08-13,146.77209614497252,198.81184561691646
2025-08-14,146.33164142791225,196.38164647916238
2025-08-15,147.08670665715843,198.50903305276125
2025-08-18,146.59171945131925,198.24214740299732
2025-08-19,147.04056378203785,198.76565386984194
2025-08-20,145.98347246109316,194.85731882570315
2025-08-21,145.3710306640379,193.05584068979675
2025-08-22,145.87860229036454,193.20468076370355
2025-08-25,147.32581064641974,194.9189078218025
2025-08-26,146.32325181425395,194.76236912338328
2025-08-27,147.38034313519864,195.65540956682406
2025-08-28,147.64461596543478,196.37651406282077
2025-08-29,147.6739796132388,198.74255799630467
2025-09-01,147.15382356642476,195.83247793060974
2025-09-02,147.21674566886196,195.90689796756314
2025-09-03,147.63203154494735,196.19174707452268
2025-09-04,147.49360291958556,198.72459453910903
2025-09-05,149.0289022190528,201.02648326832272
2025-09-08,148.97017492344477,202.68425374666396
2025-09-09,148.3367590922438,203.1692670909464
2025-09-10,148.68073325223375,203.8441798398686
2025-09-11,149.1002139351483,205.06056251283104
2025-09-12,150.21183774487184,204.26247177171012
2025-09-16,150.9627081672889,208.3581400123178
2025-09-17,149.75460380049498,206.45144734140834
2025-09-18,150.0608246990226,205.88174912748923
2025-09-19,152.10369562481648,210.03130773968385
2025-09-22,152.92168295649986,212.21001847669885
2025-09-24,152.30504635261545,208.34017655512213
2025-09-25,152.69096858089685,208.56856908232396
2025-09-26,152.9174881496707,209.14083350441385
2025-09-29,153.27824153697722,209.22295216587972
2025-09-30,153.28663115063551,209.20242250051325
2025-10-01,153.05172196820337,208.01426811742968
2025-10-02,152.56512437602248,206.64134674604804
2025-10-03,153.00557909308276,207.54721823034282
2025-10-06,155.55602164520323,209.723362759187
2025-10-07,156.86480137589663,211.76606446314926
2025-10-08,158.01837325391165,213.48542393758981
2025-10-09,159.5159192919166,217.52463559843974
2025-10-10,159.32715298460508,218.67173065079038
2025-10-14,156.91094425101724,216.0003079449805
2025-10-15,156.01745039640923,211.3400739067953
2025-10-16,155.7825412139771,210.82169985629235
2025-10-17,153.97877427744453,209.16649558612193
2025-10-20,155.54763203154496,211.43245740094437
2025-10-21,156.8228533076052,214.61712174091562
2025-10-22,158.0015940265951,216.36727571340586
2025-10-23,157.61147699148455,213.87292137138166
2025-10-24,159.06707496119802,216.5623075343872
2025-10-27,160.69046520407736,219.23116403202627
2025-10-28,162.02441377574564,222.49538082529256
2025-10-29,161.24417970552457,224.22757134058716
2025-10-30,162.40614119719788,227.60726750153975
2025-10-31,162.02860858257478,225.43882159720798
2025-11-04,163.15281681278577,227.54054608909874
