date,invesco_start_100,orcan_start_100
2023-09-11,100.0,100.0
2023-09-12,100.3847,100.51774779708269
2023-09-13,100.362716754547,100.52272614128542
2023-09-14,100.04396576976171,100.48289938766366
2023-09-15,101.03319450065517,101.58311345646437
2023-09-19,100.31875140005909,100.81147010504306
2023-09-20,100.29676855206479,100.60735799273162
2023-09-21,100.38469973202207,100.33852740578484
2023-09-22,98.58210573279212,98.36212475730572
2023-09-25,99.02176319376026,98.82511076815851
2023-09-26,98.75350234487442,99.05411460148355
2023-09-27,97.70281445667612,97.91407377906108
2023-09-28,97.89283275240035,98.1928610544133
2023-09-29,98.6081944170218,98.63593368845522
2023-10-02,99.05529580349193,98.73052222830687
2023-10-03,98.00460736592765,98.30736297107582
2023-10-04,96.41739726843853,96.54502912331358
2023-10-05,96.51799532405254,96.83875143127396
2023-10-06,96.61859313503892,96.81385971026036
2023-10-10,97.55750556991916,98.2476228406432
2023-10-11,98.64172651727134,99.14870314133519
2023-10-12,99.2900236179572,100.05974013043262
2023-10-13,98.97705252741127,99.87554139493204
2023-10-16,98.30640084558443,98.92965599641559
2023-10-17,99.03294019941778,99.73116941305322
2023-10-18,99.39062143085363,99.93528152536466
2023-10-19,98.28404600809108,98.65584706526609
2023-10-20,97.57986145809276,97.83939861602032
2023-10-23,96.49564088364714,96.65455269577339
2023-10-24,96.5070157897945,96.47533230447553
2023-10-25,96.67764308892133,97.0976253298153
2023-10-26,96.18851028792439,96.16169661970429
2023-10-27,95.60837622090564,95.40000995668841
2023-10-30,94.67561134165688,94.71797680091602
2023-10-31,95.22161979360591,95.424901677702
2023-11-01,96.99614799910698,97.07273360880171
2023-11-02,97.2464019407906,97.48593617762732
2023-11-06,99.70344022933084,99.81580126449943
2023-11-07,99.72619056032235,100.24891721013591
2023-11-08,100.01056976532416,100.57250958331258
2023-11-09,100.1925730006059,100.9558420869219
2023-11-10,100.85233307840906,100.69198984417783
2023-11-13,101.36421615461184,101.66276696370787
2023-11-14,101.7168470579813,101.88679245283019
2023-11-15,103.7302537235218,103.21103201075323
2023-11-16,104.68576910490617,104.07726390202619
2023-11-17,103.84400549154127,103.68895305421417
2023-11-20,103.95775725359677,103.41016577886195
2023-11-21,103.30937168202851,102.96709314482004
2023-11-22,103.08186791608523,102.91730970279285
2023-11-24,104.61751664272228,104.14198237666153
2023-11-27,104.79097353149109,104.09219893463435
2023-11-28,103.65772307524186,103.01687658684722
2023-11-29,103.12578895720002,102.39956190571016
2023-11-30,103.61146811035708,102.49912878976453
2023-12-01,104.64064496755599,103.35042564842934
2023-12-04,104.22434890405574,102.88743963757653
2023-12-05,104.59439015913516,102.86752626076567
2023-12-06,104.23591275979886,102.86752626076567
2023-12-07,104.32842317473232,102.55886892019714
2023-12-08,101.90002889241106,100.38831084781201
2023-12-11,104.0162010584238,102.27012495643947
2023-12-12,105.21883429473726,102.8725046049684
2023-12-13,105.35760004997019,103.06168168467167
2023-12-14,104.24747757194766,102.03614277891174
2023-12-15,105.87797066965948,102.79782944192762
2023-12-18,105.33447257671943,102.50410713396725
2023-12-19,105.94735277864929,103.1512918803206
2023-12-20,107.57784545633922,104.72942699258228
2023-12-21,106.24801116194614,103.25583710857768
2023-12-22,106.24801116194614,103.29566386219943
2023-12-25,106.39834041045906,103.30064220640216
2023-12-26,106.504139728213,103.39025240205109
2023-12-27,107.2799978901809,104.19674416289142
2023-12-28,107.35053019759377,103.9727186737691
2023-12-29,107.04488928255229,104.04241549260715
2024-01-04,105.64599348549224,103.33051227161847
2024-01-05,106.84504698713435,104.40583461940558
2024-01-09,106.51589479313341,104.77423209040673
2024-01-10,106.60993767664625,105.09782446358342
2024-01-11,107.44457301942482,106.23288694180314
2024-01-12,106.92733484490931,105.95409966645093
2024-01-15,107.24473153002285,106.06362323891074
2024-01-16,107.37404079261788,106.36730223527655
2024-01-17,107.7149480034324,106.765569771494
2024-01-18,107.39755190619704,106.47184746353362
2024-01-19,108.07936633844908,107.21362074973864
2024-01-22,108.81995749961636,108.3237915069448
2024-01-23,109.27841924516098,108.48309852143177
2024-01-24,109.48153941414876,108.67725394533778
2024-01-25,109.29036822410075,108.85149599243292
2024-01-26,109.44569497413188,109.10539154677154
2024-01-29,110.62856872301498,109.6928361626923
2024-01-30,110.4254491394111,109.79240304674664
2024-01-31,110.56882775108268,109.8322298003684
2024-02-01,109.01555907021203,108.0250908547817
2024-02-02,109.36205739362757,108.77184248518942
2024-02-05,110.67636185041958,110.98720565539901
2024-02-06,109.80414136442154,110.5192413003435
2024-02-07,109.89972696752068,110.52919798874893
2024-02-08,110.75999895127975,111.36555981480561
2024-02-09,112.01456195300106,112.31642355752476
2024-02-13,112.52833578387403,112.83417135460745
2024-02-14,111.56053020554802,112.2965101807139
2024-02-15,112.22963010393,113.13785035097325
2024-02-16,112.7672998158319,113.84975357196197
2024-02-19,112.93457544535974,113.64564145965052
2024-02-20,113.20938479451972,113.84477522775924
2024-02-21,113.04211000382887,113.29715736546024
2024-02-22,113.90238193895892,113.75516503211031
2024-02-26,115.28837573701145,115.52745556827799
2024-02-27,115.50684029173053,115.44282371683178
2024-02-28,115.069912566959,115.52745556827799
2024-02-29,114.70580604821639,115.30840842335839
2024-03-01,115.00922814049126,115.53741225668344
2024-03-04,116.10154898641663,116.25927216607757
2024-03-05,116.47779231012399,116.50818937621348
2024-03-06,115.00922749212079,115.29347339075025
2024-03-07,114.86358440679388,115.21879822770946
2024-03-08,114.9728162296572,115.55234728929157
2024-03-11,113.58921036458625,114.21317269876039
2024-03-12,113.5163894577136,114.01403893065168
2024-03-13,115.0092276031775,115.60710907552148
2024-03-14,115.17914453622298,115.70169761537312
2024-03-15,115.08204966917039,115.98048489072535
2024-03-18,115.10632392590709,115.95061482550904
2024-03-19,114.41452110635353,116.41857918056455
2024-03-21,116.57488808486723,118.95255637974809
2024-03-22,118.75952946555077,120.06272713695425
2024-03-25,118.01917899607663,119.47030417683078
2024-03-26,117.69867549186877,119.26121372031662
2024-03-27,117.871254705769,119.33091053915467
2024-03-28,118.24106633770796,119.87852840145368
2024-03-29,118.3643373790077,119.96316025289988
2024-04-01,118.401317948935,119.92831184348086
2024-04-02,118.05616034691617,119.85363668044009
2024-04-03,116.97138006745966,119.16164683626226
2024-04-04,117.56307862381709,119.54995768407429
2024-04-05,116.36735513181134,118.06143276746155
2024-04-08,116.93439928928603,119.32095385074923
2024-04-09,117.35351907125067,119.7241997311694
2024-04-10,117.23024858774787,119.69930801015582
2024-04-11,116.76182113274342,119.59476278189874
2024-04-12,116.94672632030742,120.14735898840046
2024-04-15,115.81263778075078,118.90277293772091
2024-04-16,115.92358165523923,118.32030666600288
2024-04-17,115.41817222775963,117.77268880370389
2024-04-18,115.7510024568311,117.23502762981033
2024-04-19,115.83729135663259,117.22009259720217
2024-04-22,116.24408412292718,116.5430377856325
2024-04-23,117.19326705474707,117.54368497037886
2024-04-24,118.70875178766553,119.0620799522079
2024-04-25,118.7964241362983,119.5051525862498
2024-04-26,119.30993474723411,119.2861054413302
2024-04-30,121.61447295044037,121.82008264051376
2024-05-01,120.76279585106589,120.94389406083536
2024-05-02,119.37255884606498,119.46034748842536
2024-05-07,120.81289501012012,121.21272464778214
2024-05-08,122.02778706608397,121.97441131079802
2024-05-09,123.19258012224373,122.54692089411061
2024-05-10,123.63094367164751,123.14930054263952
2024-05-13,124.31980045407269,123.6919400607358
2024-05-14,124.87088526552552,124.12007766216956
2024-05-15,125.55974174763706,124.7871757853338
2024-05-16,124.9961316900751,124.19973116941306
2024-05-17,126.07325210595879,125.34475033603823
2024-05-20,126.27364680091372,125.83262806790461
2024-05-21,126.73705972004485,126.39518096281176
2024-05-22,125.94800619256326,126.2408522925275
2024-05-23,126.1984991441594,126.37028924179819
2024-05-24,125.61365870156061,125.7977796584856
2024-05-27,125.80436787047447,126.13132872006771
2024-05-28,126.44006488958605,126.4300293722308
2024-05-29,125.79165368441865,126.49474784686615
2024-05-30,124.24055328241566,125.3895554338627
2024-05-31,124.03713049730978,124.4287350027381
2024-06-03,125.3848075642474,125.51899238313338
2024-06-04,124.74911035144088,125.39951212226813
2024-06-05,123.52857254070899,124.13003435057499
2024-06-06,124.97796045861509,125.85751978891821
2024-06-07,125.10509928801005,126.14626375267586
2024-06-10,124.8508206716052,126.69885995917758
2024-06-11,125.65179861460747,127.06725743017873
2024-06-12,125.21952501442355,126.81336187584009
2024-06-13,126.55448786621182,127.62981032508587
2024-06-14,126.46549095370965,127.80903071638372
2024-06-17,125.99507600235422,127.57504853885597
2024-06-18,126.94862059699838,128.46617215114253
2024-06-19,127.34275290142108,129.1382486185095
2024-06-20,127.72417118833891,129.43694927067259
2024-06-21,128.8557115519392,130.03435057499874
2024-06-24,128.88113993805686,130.2932244735401
2024-06-25,129.01018862347684,130.13889580325585
2024-06-26,128.23589527339647,130.61183850251405
2024-06-27,128.49399309509533,131.32374172350276
2024-06-28,128.24879957253134,131.637377408274
2024-07-01,128.50689771669508,131.54776721262508
2024-07-02,128.45527778095126,132.26962712201922
2024-07-03,129.10052277132556,132.69278637925026
2024-07-04,129.6038134133182,133.5789316473341
2024-07-05,129.75867182581322,133.65360681037487
2024-07-08,129.16504666359762,133.7133469408075
2024-07-09,129.113427144349,134.022004281376
2024-07-10,128.05522640681662,134.4551202270125
2024-07-11,129.797387028827,135.81918653855726
2024-07-12,128.7520910298416,133.31010106038732
2024-07-16,129.7586723024711,133.59884502414496
2024-07-17,130.95882713122407,134.22113804948475
2024-07-18,128.73918632635286,130.57201174889232
2024-07-19,129.3715261743588,130.89062577786626
2024-07-22,128.55851798613654,129.92482700253896
2024-07-23,128.6875663120762,130.33802957136456
2024-07-24,127.75732636210309,129.3921441728481
2024-07-25,124.24599801172955,125.00124458605069
2024-07-26,123.73502143538656,124.92656942300991
2024-07-29,124.77007726319569,125.9371732961617
2024-07-30,124.77007726319569,126.16119878528403
2024-07-31,123.77432720298287,124.59302036142779
2024-08-01,122.7654748432764,123.87613879623638
2024-08-02,121.27184992125044,121.84497436152735
2024-08-05,116.14897893036753,115.83611290884652
2024-08-06,113.55478800148839,112.94867327126998
2024-08-07,115.93934657014138,115.4726937820481
2024-08-08,115.58559359528002,114.68611539801863
2024-08-09,117.87843843074306,117.62333847762234
2024-08-13,118.12737647458988,118.33026335440833
2024-08-14,119.35896187025008,119.84865833623736
2024-08-15,120.32850755598442,120.57549658983422
2024-08-16,123.05371722139293,123.66704833972221
2024-08-19,122.4379244264506,123.23393239408573
2024-08-20,122.28070066331536,123.25882411509932
2024-08-21,121.53388840331228,122.4025489122318
2024-08-22,121.84833546345592,122.69129287598946
2024-08-23,122.3593125506387,122.68133618758401
2024-08-26,121.91988966944123,121.73047244486483
2024-08-27,122.78541969258583,122.52202917309702
2024-08-28,122.69220836908042,122.23826355354208
2024-08-29,122.59899787146034,121.87982277094638
2024-08-30,123.1848948043181,122.22332852093393
2024-09-02,124.82274391975103,124.23457957883208
2024-09-03,125.08906073326848,124.97137452083437
2024-09-04,122.45252357525638,121.23761636879573
2024-09-05,121.17420249684672,119.44043411161446
2024-09-06,120.21546130101343,118.76337930004482
2024-09-09,118.3379266091773,116.67745307910589
2024-09-10,120.02903948290282,118.11121620948872
2024-09-11,118.93714011188843,117.12550405735051
2024-09-12,119.70945962057638,118.64887738338228
2024-09-13,119.98909253858787,118.72853089062578
2024-09-17,120.5084101306586,118.93264300293723
2024-09-18,121.56036178504397,119.78891820580475
2024-09-19,122.53241800245445,121.09324438691691
2024-09-20,123.59768543678749,122.41748394483996
2024-09-24,123.93058220676605,123.20406232886943
2024-09-25,124.49900965095053,123.62224324189775
2024-09-26,125.22984373740354,124.57310698461693
2024-09-27,127.27347331424954,126.44994274904167
2024-09-30,125.47345476304397,124.02548912231792
2024-10-01,126.27195904601413,125.30990192661922
2024-10-02,125.06743567603912,124.16488275999401
2024-10-03,128.22085098029282,127.05232239757056
2024-10-04,127.00279392665233,126.25080898093294
2024-10-07,129.11409345300072,128.58565241200776
2024-10-08,127.76069628488958,127.37591477074726
2024-10-09,127.6118231335436,127.9683377308707
2024-10-10,129.38477375200307,129.48673271269973
2024-10-11,128.36972561881163,128.7897645243192
2024-10-15,130.76523820337326,131.07980285756958
2024-10-16,129.11409300127931,129.6609747597949
2024-10-17,129.85846157025028,130.22850599890475
2024-10-18,130.49455766123677,130.68153532135213
2024-10-21,130.53515973790746,130.77114551700103
2024-10-22,130.45395642573772,131.3088066908946
2024-10-23,130.98178096067363,131.56768058943595
2024-10-24,131.84784428474586,131.8215761437746
2024-10-25,131.51791483159994,131.44820032857072
