date,rakuten-sp_start_100,rakuten-vti_start_100
2023-10-27,100.0,100.0
2023-10-30,99.17071197411003,99.12245712006383
2023-10-31,100.13147249190939,100.03102424323006
2023-11-01,102.0529935275081,101.98998360147145
2023-11-02,102.52831715210355,102.43318707618667
2023-11-06,104.81391585760518,104.98603909054647
2023-11-07,105.33980582524272,105.3273057660772
2023-11-08,106.0275080906149,106.03643132562159
2023-11-09,106.38147249190939,106.31121747994506
2023-11-10,105.78478964401295,105.64641226787217
2023-11-13,107.65574433656957,107.414794131986
2023-11-14,107.59506472491908,107.39263395825023
2023-11-15,108.8794498381877,108.97487036298365
2023-11-16,109.57726537216827,109.7327483047467
2023-11-17,109.3042071197411,109.2407924478128
2023-11-20,108.84911003236246,108.92611798076497
2023-11-21,108.40412621359224,108.46075433231397
2023-11-22,108.29288025889967,108.28790497717502
2023-11-24,109.64805825242718,109.68399592252804
2023-11-27,109.63794498381878,109.71945220050526
2023-11-28,108.44457928802589,108.57598723573993
2023-11-29,107.62540453074433,107.76492487701104
2023-11-30,107.64563106796116,107.90231795417276
2023-12-01,108.66707119741102,108.93941408500642
2023-12-04,108.22208737864078,108.76213269512034
2023-12-05,108.20186084142395,108.92168594601782
2023-12-06,108.23220064724919,108.79315693835039
2023-12-07,107.7467637540453,108.26574480343926
2023-12-08,105.71399676375404,106.24473695873775
2023-12-11,107.7467637540453,108.34108939414084
2023-12-12,108.53559870550163,109.14328768337545
2023-12-13,108.84911003236246,109.36932145548022
2023-12-14,107.95914239482201,108.68678810441874
2023-12-15,108.29288025889967,109.32943314275585
2023-12-18,107.96925566343043,108.95271018924788
2023-12-19,108.88956310679612,109.79922882595399
2023-12-20,110.56836569579286,111.6340912112751
2023-12-21,108.55582524271846,109.55103488011346
2023-12-22,108.79854368932038,109.83468510393122
2023-12-25,108.89967637540454,109.99423835482871
2023-12-26,108.9401294498382,110.03412666755308
2023-12-27,109.7997572815534,110.97815006869654
2023-12-28,109.24352750809061,110.45073793378539
2023-12-29,109.28398058252426,110.38425741257811
2024-01-04,108.69741100323624,109.40477773345742
2024-01-05,109.54692556634305,110.32664096086513
2024-01-09,110.48745954692556,111.26623232726145
2024-01-10,110.8717637540453,111.60306696804503
2024-01-11,112.25728155339804,112.91938128794929
2024-01-12,111.9336569579288,112.59141071666001
2024-01-15,111.90331715210355,112.49390595222266
2024-01-16,112.47977346278317,113.06120639985818
2024-01-17,113.24838187702267,113.71271550768958
2024-01-18,113.23826860841424,113.65509905597659
2024-01-19,114.16868932038835,114.60355449186721
2024-01-22,115.59466019417475,116.00407747196738
2024-01-23,115.81715210355988,116.4694411204184
2024-01-24,116.17111650485437,116.69547489252317
2024-01-25,116.02953074433657,116.43398484244116
2024-01-26,116.52508090614886,116.95253290785799
2024-01-29,116.86893203883496,117.28493551389442
2024-01-30,117.07119741100325,117.65722643265524
2024-01-31,117.13187702265373,117.63063422417233
2024-02-01,114.70469255663431,115.10437441829544
2024-02-02,115.86771844660196,116.36750432123388
2024-02-05,118.92192556634305,119.17298231618136
2024-02-06,118.47694174757282,118.54806541683287
2024-02-07,118.12297734627832,118.30873554048664
2024-02-08,119.3163430420712,119.46106457474626
2024-02-09,120.50970873786409,120.86601958959358
2024-02-13,120.99514563106797,121.60173735762088
2024-02-14,120.3883495145631,120.68873819970749
2024-02-15,121.3794498381877,121.86322740770288
2024-02-16,121.9457928802589,122.61224127997164
2024-02-19,121.17718446601941,121.78345078225415
2024-02-20,121.47046925566343,122.06266897132474
2024-02-21,120.5906148867314,121.11864557018126
2024-02-22,121.03559870550163,121.459912245712
2024-02-26,123.48300970873787,123.78673048796702
2024-02-27,123.26051779935274,123.65376944555247
2024-02-28,123.34142394822007,123.86650711341578
2024-02-29,123.3009708737864,123.79559455746134
2024-03-01,123.65493527508092,124.02606036431325
2024-03-04,124.48422330097087,124.97451580020386
2024-03-05,124.61569579288026,125.1296370163542
2024-03-06,123.04813915857605,123.49864822940211
2024-03-07,122.84587378640776,123.38341532597616
2024-03-08,123.1492718446602,123.61831316757524
2024-03-11,121.50080906148868,122.04050879758897
2024-03-12,121.39967637540454,121.86765944245003
2024-03-13,123.32119741100325,123.64047334131098
2024-03-14,123.22006472491908,123.60944909808094
2024-03-15,123.66504854368931,123.88866728715153
2024-03-18,123.42233009708738,123.75570624473696
2024-03-19,124.18082524271846,124.34959890085537
2024-03-21,127.28559870550163,127.60271240526527
2024-03-22,128.36771844660194,128.80379382174357
2024-03-25,128.05420711974108,128.26308558259097
2024-03-26,127.57888349514563,127.89079466383015
2024-03-27,127.43729773462785,127.86420245534724
2024-03-28,128.50930420711975,128.94561893365244
2024-03-29,128.5497572815534,128.932322829411
2024-04-01,128.56998381877023,128.9500509683996
2024-04-02,128.59021035598707,129.13176439303285
2024-04-03,127.53843042071198,127.80658600363427
2024-04-04,127.81148867313917,128.12126047068207
