date,emaxis-sp_start_100,rakuten-sp_start_100
2023-10-27,100.0,100.0
2023-10-30,99.1804386004413,99.17071197411003
2023-10-31,100.13959562300177,100.13147249190939
2023-11-01,102.11644976809113,102.0529935275081
2023-11-02,102.61178907551674,102.52831715210355
2023-11-06,104.88134372044851,104.81391585760518
2023-11-07,105.37217994326113,105.33980582524272
2023-11-08,106.07015805826991,106.0275080906149
2023-11-09,106.47093258882335,106.38147249190939
2023-11-10,105.87202233529969,105.78478964401295
2023-11-13,107.73629936506508,107.65574433656957
2023-11-14,107.69577160354844,107.59506472491908
2023-11-15,108.96113837979016,108.8794498381877
2023-11-16,109.65011032557301,109.57726537216827
2023-11-17,109.38442833340838,109.3042071197411
2023-11-20,108.93411987211239,108.84911003236246
2023-11-21,108.45228981852568,108.40412621359224
2023-11-22,108.3622281262665,108.29288025889967
2023-11-24,109.74017201783222,109.64805825242718
2023-11-27,109.72666276399335,109.63794498381878
2023-11-28,108.51082991849417,108.44457928802589
2023-11-29,107.7317962804521,107.62540453074433
2023-11-30,107.74080244967803,107.64563106796116
2023-12-01,108.77200882604585,108.66707119741102
2023-12-04,108.32170036474986,108.22208737864078
2023-12-05,108.29017877245914,108.20186084142395
2023-12-06,108.3171972801369,108.23220064724919
2023-12-07,107.83086414193723,107.7467637540453
2023-12-08,105.80897915071826,105.71399676375404
2023-12-11,107.83987031116315,107.7467637540453
2023-12-12,108.61890394920522,108.53559870550163
2023-12-13,108.93411987211239,108.84911003236246
2023-12-14,108.04250911874634,107.95914239482201
2023-12-15,108.35772504165352,108.29288025889967
2023-12-18,108.11906155716666,107.96925566343043
2023-12-19,108.98815688746792,108.88956310679612
2023-12-20,110.66330436348899,110.56836569579286
2023-12-21,108.63241320304408,108.55582524271846
2023-12-22,108.88008285675687,108.79854368932038
2023-12-25,108.9656414644031,108.89967637540454
2023-12-26,109.00616922591975,108.9401294498382
2023-12-27,109.86625838699509,109.7997572815534
2023-12-28,109.29886972576215,109.24352750809061
2023-12-29,109.33939748727879,109.28398058252426
2024-01-04,108.76750574143288,108.69741100323624
2024-01-05,109.61408564866935,109.54692556634305
2024-01-09,110.55973341739092,110.48745954692556
2024-01-10,110.95150177871842,110.8717637540453
2024-01-11,112.32494258567118,112.25728155339804
2024-01-12,111.99621740892512,111.9336569579288
2024-01-15,111.96919890124735,111.90331715210355
2024-01-16,112.54109064709326,112.47977346278317
2024-01-17,113.29760886207052,113.24838187702267
2024-01-18,113.29310577745755,113.23826860841424
2024-01-19,114.23875354617914,114.16868932038835
2024-01-22,115.66172828387444,115.59466019417475
2024-01-23,115.87337326068356,115.81715210355988
2024-01-24,116.2291169451074,116.17111650485437
2024-01-25,116.08501823749269,116.02953074433657
2024-01-26,116.57585446030532,116.52508090614886
2024-01-29,116.93159814472914,116.86893203883496
2024-01-30,117.12523078308641,117.07119741100325
2024-01-31,117.19728013689377,117.13187702265373
2024-02-01,114.76561444589544,114.70469255663431
2024-02-02,115.9139010222002,115.86771844660196
2024-02-05,118.97599855901294,118.92192556634305
2024-02-06,118.53919935155581,118.47694174757282
2024-02-07,118.17895258251903,118.12297734627832
2024-02-08,119.37227000495338,119.3163430420712
2024-02-09,120.56108434277479,120.50970873786409
2024-02-13,121.03841131174855,120.99514563106797
2024-02-14,120.425991804386,120.3883495145631
2024-02-15,121.44368892691493,121.3794498381877
2024-02-16,121.99306524969604,121.9457928802589
2024-02-19,121.23204395010583,121.17718446601941
2024-02-20,121.51573828072229,121.47046925566343
2024-02-21,120.61512135813032,120.5906148867314
2024-02-22,121.08344215787814,121.03559870550163
2024-02-26,123.53312018732832,123.48300970873787
2024-02-27,123.31697212590625,123.26051779935274
2024-02-28,123.39802764893952,123.34142394822007
2024-02-29,123.34399063358401,123.3009708737864
2024-03-01,123.71324357184672,123.65493527508092
2024-03-04,124.51929571756652,124.48422330097087
2024-03-05,124.65889134056829,124.61569579288026
2024-03-06,123.09181789525825,123.04813915857605
2024-03-07,122.88017291844915,122.84587378640776
