date,rakuten-sp_start_100,sbi-nasdaq_start_100
2026-05-21,100.0,100.0
2026-05-22,100.33165777063793,100.0
2026-05-25,100.5337617246204,100.27
2026-05-26,100.60112970928124,100.35000041950002
2026-05-27,101.4199098305436,102.28000086906812
2026-05-28,101.65310670052338,102.40000088008773
2026-05-29,102.06249676115458,103.08000139793208
2026-06-01,102.3319686997979,103.50000189442794
2026-06-02,102.80354459242369,104.3100022242539
2026-06-03,103.08856298906565,104.9600027014142
2026-06-04,102.32678654713168,104.65000228383555
2026-06-05,102.78799813442502,104.15000236342378
2026-06-08,100.2953827019744,99.41000244386132
2026-06-09,100.5596724879515,100.93000225732848
2026-06-10,100.3834792973001,99.88000221134494
2026-06-11,98.85992641343215,98.0100018663431
2026-06-12,100.3212934653055,100.95000201172768
2026-06-15,100.82914442659481,101.61000202038014
2026-06-16,102.58071202777634,104.79000185291021
2026-06-17,102.11431828781676,102.94000143579827
2026-06-18,101.09861636523812,102.14000115583993
2026-06-19,102.42006529512359,104.90000068927272
2026-06-22,102.6895372337669,105.18000082011253
2026-06-23,102.3371508524641,105.00000102570904
2026-06-24,100.8861481059232,101.57000064220252
2026-06-25,100.89133025858943,101.22000057698955
2026-06-26,100.93278747991916,102.03000047300684
2026-06-29,100.78768720526507,100.8300001299437
2026-06-30,102.37860807379387,103.49999970768462
2026-07-01,103.41503860703736,105.45999990214898
2026-07-02,103.14038451572782,103.79999939148922
2026-07-03,102.26978286780329,101.2499998204382
2026-07-06,102.46670466911955,101.43999949510125
2026-07-07,103.57568533969011,103.07999924053846
2026-07-08,103.25957402705083,101.40999914204252
2026-07-09,103.07819868373322,101.78999863442762
2026-07-10,103.66378193501579,103.18999893554579
2026-07-13,104.09908275897808,103.50999937744483
2026-07-14,103.40985645437115,101.69999972103099
2026-07-15,103.68969269834689,102.7099997072605
2026-07-16,104.12499352230917,102.44999961400154
2026-07-17,103.77778929367258,100.9699997480777
2026-07-21,102.56516556977769,99.52999994147054
2026-07-22,103.88661449966317,101.86000022600035
2026-07-23,103.69487485101313,101.26000000626911
2026-07-24,102.99528424107373,99.90000023598492
2026-07-27,102.85536611908587,98.56000057381956
2026-07-28,102.9590091724102,98.33000095648049
2026-07-29,103.08856298906565,97.29000091846416
2026-07-30,101.41472767787738,95.19000111313916
2026-07-31,101.34217754055035,96.71000076231383
2026-08-03,98.92729439809297,94.29000030153823
2026-08-04,101.4458205938747,96.97000026560883
2026-08-05,103.35285277504276,100.28999998300259
2026-08-06,103.33212416437789,99.59999976861953
2026-08-07,103.70523915634556,99.74999936027106
2026-08-10,103.91770741566046,100.51999953033281
2026-08-12,104.45146914028088,100.74999934125815
2026-08-13,104.73648753692284,101.49999946385438
2026-08-14,105.4360781468622,102.67999988762135
2026-08-17,105.06296315489453,102.34999971638254
2026-08-18,104.7831269109188,102.41999995168858
2026-08-19,104.02135046898482,100.65000004492349
2026-08-20,103.62232471368607,99.83000046855747
2026-08-21,103.1611131263927,99.54000030699636
2026-08-24,103.39949214903872,99.66000075436646
2026-08-25,103.38394569104005,98.9600008682679
2026-08-26,103.65341762968336,99.53000057726902
2026-08-27,103.66896408768203,99.61000080113303
2026-08-28,104.55511219360523,101.17000099247966
2026-08-31,104.70539462092555,100.85000129104047
2026-09-01,104.2182722703011,100.80000086890037
2026-09-02,103.80370005700368,99.80000135628033
2026-09-03,103.25439187438461,99.05000135208786
2026-09-04,102.3630616157952,98.29000158721342
2026-09-07,102.16613981447892,98.67000154524976
2026-09-08,100.72031922060425,97.27000150762466
2026-09-09,100.13473596932165,97.15000145216473
2026-09-10,99.6476136186972,96.86000189732992
