date,emaxis-sp_start_100,sbi-sp_start_100
2023-09-11,100.0,100.0
2023-09-12,100.50526676372355,100.486322
2023-09-13,100.34255373811767,100.35538932729722
2023-09-14,100.36396334675001,100.36941800717129
2023-09-15,101.54577374325598,101.54313798134716
2023-09-19,100.46244754645886,100.46761743420186
2023-09-20,100.31686220775885,100.34136078404848
2023-09-21,99.77734007022352,99.79892441837237
2023-09-22,97.64066112871457,97.67594082080086
2023-09-25,97.96180525819989,97.97989174372526
2023-09-26,98.65975849961463,98.68599461136449
2023-09-27,97.29382546887044,97.32522724770763
2023-09-28,97.68776226770575,97.72270250253499
2023-09-29,98.22728440524108,98.19967235504448
2023-10-02,98.10310867517342,98.10147268268943
2023-10-03,98.1930290314293,98.1809672490484
2023-10-04,96.45456881048214,96.47416378733944
2023-10-05,96.9598355742057,96.89969588793919
2023-10-06,96.77143101824099,96.74070577391714
2023-10-10,98.44566241329107,98.43815689370861
2023-10-11,98.99803031600582,98.9805934666004
2023-10-12,99.82872313094117,99.79892443133892
2023-10-13,99.66601010533527,99.64928692203581
2023-10-16,98.9423653335617,98.9057746940173
2023-10-17,99.98287231309412,99.92518068886459
2023-10-18,100.14986726042648,100.10287563917997
2023-10-19,98.82247152522052,98.7888702369585
2023-10-20,98.04316177100283,98.00794915717886
2023-10-23,96.76714909651452,96.74538233383083
2023-10-24,96.52307955810568,96.49754485063713
2023-10-25,97.37518198167338,97.36263762041949
2023-10-26,96.16339813308213,96.18424106565115
2023-10-27,95.08863577973796,95.0713114872863
2023-10-30,94.30932602552026,94.3231230829961
2023-10-31,95.22137535325854,95.23030118649005
2023-11-01,97.10113899117924,97.05400906936194
2023-11-02,97.57215038109103,97.56838852364893
2023-11-06,99.73023893123234,99.69604773692586
2023-11-07,100.19696839941766,100.17301755635077
2023-11-08,100.86066626702063,100.83235836136704
2023-11-09,101.24175730067655,101.19242365481038
2023-11-10,100.67226171105592,100.65933994314837
2023-11-13,102.44497730581486,102.41758179877031
