date,rakuten-sp_start_100,sbi-sp_start_100
2023-10-27,100.0,100.0
2023-10-30,99.17071197411003,99.213024
2023-10-31,100.13147249190939,100.16723204583649
2023-11-01,102.0529935275081,102.0854846231303
2023-11-02,102.52831715210355,102.62653054564895
2023-11-06,104.81391585760518,104.86449190327833
2023-11-07,105.33980582524272,105.36618880002169
2023-11-08,106.0275080906149,106.05971116202721
2023-11-09,106.38147249190939,106.43844296640704
2023-11-10,105.78478964401295,105.87772312009113
2023-11-13,107.65574433656957,107.72711577926053
2023-11-14,107.59506472491908,107.66317434968975
2023-11-15,108.8794498381877,108.92233500908387
2023-11-16,109.57726537216827,109.6502869368633
2023-11-17,109.3042071197411,109.38468214331898
2023-11-20,108.84911003236246,108.9616828266962
2023-11-21,108.40412621359224,108.48457884380392
2023-11-22,108.29288025889967,108.32718399258839
2023-11-24,109.64805825242718,109.72898433414157
2023-11-27,109.63794498381878,109.70930992725047
2023-11-28,108.44457928802589,108.51900889535688
2023-11-29,107.62540453074433,107.73695146509125
2023-11-30,107.64563106796116,107.7615445790022
2023-12-01,108.66707119741102,108.77477573475261
2023-12-04,108.22208737864078,108.32226505346173
2023-12-05,108.20186084142395,108.32226505346173
2023-12-06,108.23220064724919,108.37145094435456
2023-12-07,107.7467637540453,107.85499812516315
2023-12-08,105.71399676375404,105.80886154183102
2023-12-11,107.7467637540453,107.85007954279695
2023-12-12,108.53559870550163,108.62229905433291
2023-12-13,108.84911003236246,108.97151974579258
2023-12-14,107.95914239482201,108.07633505680884
2023-12-15,108.29288025889967,108.40096286365564
2023-12-18,107.96925566343043,108.00747495652796
2023-12-19,108.88956310679612,108.98627541712551
2023-12-20,110.56836569579286,110.673354624151
2023-12-21,108.55582524271846,108.63213732733792
2023-12-22,108.79854368932038,108.80920662486014
2023-12-25,108.89967637540454,108.97152058265863
2023-12-26,108.9401294498382,109.0108691090258
2023-12-27,109.7997572815534,109.85686758070284
2023-12-28,109.24352750809061,109.32565909179107
2023-12-29,109.28398058252426,109.33549621459615
2024-01-04,108.69741100323624,108.76493876779494
2024-01-05,109.54692556634305,109.61093747746675
2024-01-09,110.48745954692556,110.52087815548283
2024-01-10,110.8717637540453,110.79140121415278
2024-01-11,112.25728155339804,112.25714264645173
2024-01-12,111.9336569579288,111.9620264764342
2024-01-15,111.90331715210355,111.8980849631135
2024-01-16,112.47977346278317,112.46372418769779
2024-01-17,113.24838187702267,113.2605364213911
2024-01-18,113.23826860841424,113.2556175162943
2024-01-19,114.16868932038835,114.20490684886092
2024-01-22,115.59466019417475,115.60670698363379
2024-01-23,115.81715210355988,115.82312505124128
2024-01-24,116.17111650485437,116.1821825300564
2024-01-25,116.02953074433657,116.03954334092057
2024-01-26,116.52508090614886,116.5658337273707
2024-01-29,116.86893203883496,116.9248914650011
2024-01-30,117.07119741100325,117.08228639989997
2024-01-31,117.13187702265373,117.13639129526823
2024-02-01,114.70469255663431,114.68692996097853
2024-02-02,115.86771844660196,115.9067424417821
2024-02-05,118.92192556634305,118.90216790846947
2024-02-06,118.47694174757282,118.40538989486117
2024-02-07,118.12297734627832,118.13486673246058
2024-02-08,119.3163430420712,119.32024852413541
2024-02-09,120.50970873786409,120.51054914093267
2024-02-13,120.99514563106797,121.0171646435717
2024-02-14,120.3883495145631,120.3482350049745
2024-02-15,121.3794498381877,121.33687288937571
2024-02-16,121.9457928802589,121.96645352173681
2024-02-19,121.17718446601941,121.1647216754861
2024-02-20,121.47046925566343,121.44508230167659
2024-02-21,120.5906148867314,120.60400223968809
2024-02-22,121.03559870550163,121.03683914936612
2024-02-26,123.48300970873787,123.47154479395965
2024-02-27,123.26051779935274,123.26496331764945
2024-02-28,123.34142394822007,123.35841664958873
2024-02-29,123.3009708737864,123.30923118170219
2024-03-01,123.65493527508092,123.46662678365948
2024-03-04,124.48422330097087,124.46510262912518
2024-03-05,124.61569579288026,124.5929855434725
2024-03-06,123.04813915857605,123.05346477690311
2024-03-07,122.84587378640776,122.85672074474456
2024-03-08,123.1492718446602,123.10756959716119
2024-03-11,121.50080906148868,121.50410704499082
2024-03-12,121.39967637540454,121.42541004989886
2024-03-13,123.32119741100325,123.2846395009599
2024-03-14,123.22006472491908,123.22069792268273
2024-03-15,123.66504854368931,123.7076390123196
2024-03-18,123.42233009708738,123.4617094630395
2024-03-19,124.18082524271846,124.1945806396463
2024-03-21,127.28559870550163,127.24411150217927
2024-03-22,128.36771844660194,128.3409582882103
2024-03-25,128.05420711974108,127.99665671600091
2024-03-26,127.57888349514563,127.5884126593718
2024-03-27,127.43729773462785,127.43101704174693
2024-03-28,128.50930420711975,128.4934336427172
2024-03-29,128.5497572815534,128.38522418250932
2024-04-01,128.56998381877023,128.40489793426303
2024-04-02,128.59021035598707,128.51310730985023
2024-04-03,127.53843042071198,127.53922470160757
2024-04-04,127.81148867313917,127.77039847412497
2024-04-05,125.61690938511327,125.58162255224804
2024-04-08,127.68001618122977,127.58841060155181
2024-04-09,127.79126213592234,127.7900730156963
2024-04-10,127.85194174757282,127.81466621524815
2024-04-11,127.63956310679612,127.56873673783673
2024-04-12,128.65088996763754,128.55245626175585
2024-04-15,127.11367313915858,127.1063889641358
2024-04-16,126.36529126213591,126.28498299141341
2024-04-17,126.40574433656957,126.36368000426417
2024-04-18,125.40453074433657,125.33569377651428
2024-04-19,125.37419093851132,125.29634463545314
2024-04-22,124.32241100323624,124.27819530968958
2024-04-23,125.45509708737863,125.3947168302616
2024-04-24,126.96197411003236,126.97850476960888
2024-04-25,127.52831715210355,127.43593467476101
2024-04-26,127.14401294498381,127.09655111661324
2024-04-30,129.79368932038835,129.74275596237808
2024-05-01,128.6205501618123,128.56721134256048
2024-05-02,126.6990291262136,126.67847029656245
2024-05-07,129.1059870550162,129.04431614103635
2024-05-08,129.98584142394822,129.92474550632863
2024-05-09,130.57241100323625,130.51497673494697
2024-05-10,131.31067961165047,131.30195202621405
2024-05-13,131.77588996763754,131.70035891320816
2024-05-14,132.06917475728156,132.02990481929518
