date,sbi-sp_start_100,rakuten-nasdaq_start_100
2024-01-30,100.0,100.0
2024-01-31,100.046211,100.0
2024-02-01,97.95412567299893,100.0
2024-02-02,98.99596771273946,100.91000000000001
2024-02-05,101.55436109468654,104.22
2024-02-06,101.13006291185849,104.03
2024-02-07,100.8990090345225,103.25999999999999
2024-02-08,101.91144381703616,104.50999999999999
2024-02-09,102.92807976889289,105.67999999999999
2024-02-13,103.36078015271413,106.21000000000001
2024-02-14,102.78944723877319,105.44
2024-02-15,103.63384301784473,106.46
2024-02-16,104.17156793911143,106.61
2024-02-19,103.48680863785185,105.47999999999999
2024-02-20,103.72626469462278,105.72999999999999
2024-02-21,103.00789807585372,104.78
2024-02-22,103.3775841513371,104.63
2024-02-26,105.45706664135075,107.25
2024-02-27,105.28062536858245,107.4
2024-02-28,105.36044387470565,107.54999999999998
2024-02-29,105.31843455852392,107.09
2024-03-01,105.45286616794746,107.87
2024-03-04,106.30566455117629,109.25
2024-03-05,106.41488936927605,109.05
2024-03-06,105.09998443027354,106.82000000000001
2024-03-07,104.93194532016719,106.79
2024-03-08,105.14619536612189,107.61
2024-03-11,103.77667773755965,105.24
2024-03-12,103.70946262115581,104.86999999999999
2024-03-13,105.29743079997218,106.91999999999999
2024-03-14,105.24281828748776,106.16000000000001
2024-03-15,105.65871475193988,106.50999999999999
2024-03-18,105.44866628360016,105.80000000000001
2024-03-19,106.07461167563295,106.81
2024-03-21,108.6792164850378,109.43
2024-03-22,109.61603350472315,110.5
2024-03-25,109.3219654754797,110.5
2024-03-26,108.97328415981531,110.05
2024-03-27,108.83885253701007,109.83000000000001
2024-03-28,109.7462627299931,110.22000000000001
2024-03-29,109.65384101229768,109.98000000000002
2024-04-01,109.67064436689438,110.00000000000001
2024-04-02,109.76306601231526,110.47
2024-04-03,108.93127271702865,109.33
2024-04-04,109.12871827401736,109.67
2024-04-05,107.25928440047556,107.45
2024-04-08,108.97328240223092,109.39000000000001
2024-04-09,109.14552230319742,109.48
2024-04-10,109.16652735896466,109.79
2024-04-11,108.956478952008,109.68
2024-04-12,109.79667395858583,111.53999999999999
2024-04-15,108.5615876427268,109.96
2024-04-16,107.86002466682383,108.82000000000001
2024-04-17,107.92723979839545,109.11999999999999
2024-04-18,107.04923659282193,107.53999999999999
2024-04-19,107.01562848499361,107.13999999999999
2024-04-22,106.14602697901854,104.96000000000001
2024-04-23,107.09964819269942,106.06
2024-04-24,108.45236173122545,107.66
2024-04-25,108.84305268817324,108.47
2024-04-26,108.55318513554568,108.04
2024-04-30,110.81330912793734,111.03
2024-05-01,109.80927627551893,109.64
2024-05-02,108.19610223863094,107.61
2024-05-07,110.21677156207859,110.96
2024-05-08,110.96874642724745,111.55999999999999
2024-05-09,111.47286301632941,112.02000000000001
2024-05-10,112.1450187415594,112.25
2024-05-13,112.48529812902655,112.75999999999999
2024-05-14,112.76676334141693,113.27000000000001
2024-05-15,113.42211528024902,114.16999999999999
2024-05-16,112.90119472607452,113.97999999999999
2024-05-17,113.88422317053053,114.97
2024-05-20,114.2959191926609,115.13
2024-05-21,114.82944339977873,116.36
2024-05-22,115.01848711244777,116.49000000000001
