date,emaxis-sp_start_100,sbi-nasdaq_start_100
2026-05-21,100.0,100.0
2026-05-22,100.3274228135304,100.0
2026-05-25,100.5280269316793,100.27
2026-05-26,100.59720076552377,100.35000041950002
2026-05-27,101.41575779934978,102.28000086906812
2026-05-28,101.64403145103647,102.40000088008773
2026-05-29,102.05446286518021,103.08000139793208
2026-06-01,102.32654661163505,103.50000189442794
2026-06-02,102.79462288731582,104.3100022242539
2026-06-03,103.07823560607807,104.9600027014142
2026-06-04,102.32193502271207,104.65000228383555
2026-06-05,102.7853997094699,104.15000236342378
2026-06-08,100.29283589660818,99.41000244386132
2026-06-09,100.5556964652171,100.93000225732848
2026-06-10,100.38045608614448,99.88000221134494
2026-06-11,98.85632594710508,98.0100018663431
2026-06-12,100.31819963568446,100.95000201172768
2026-06-15,100.82547441721046,101.61000202038014
2026-06-16,102.57787820793654,104.79000185291021
2026-06-17,102.11210772671724,102.94000143579827
2026-06-18,101.09294657474233,102.14000115583993
2026-06-19,102.4187783900943,104.90000068927272
2026-06-22,102.69086213654914,105.18000082011253
2026-06-23,102.33346399501949,105.00000102570904
2026-06-24,100.88542507320896,101.57000064220252
2026-06-25,100.88542507320896,101.22000057698955
2026-06-26,100.92923516797711,102.03000047300684
2026-06-29,100.79319329474971,100.8300001299437
2026-06-30,102.37496829532616,103.49999970768462
2026-07-01,103.41027000853144,105.45999990214898
2026-07-02,103.14279785099956,103.79999939148922
2026-07-03,102.26659595563652,101.2499998204382
2026-07-06,102.46489427932394,101.43999949510125
2026-07-07,103.5762872097581,103.07999924053846
2026-07-08,103.26039336853512,101.40999914204252
2026-07-09,103.07823560607807,101.78999863442762
2026-07-10,103.66390739929443,103.18999893554579
2026-07-13,104.10200834697596,103.50999937744483
2026-07-14,103.41027000853144,101.69999972103099
2026-07-15,103.69157693283219,102.7099997072605
2026-07-16,104.12506629159077,102.44999961400154
2026-07-17,103.77919712236852,100.9699997480777
2026-07-21,102.5594318522447,99.52999994147054
2026-07-22,103.88756946205815,101.86000022600035
2026-07-23,103.69157693283219,101.26000000626911
2026-07-24,102.9975327999262,99.90000023598492
2026-07-27,102.85457354331436,98.56000057381956
2026-07-28,102.95372270515806,98.33000095648049
2026-07-29,103.087458783924,97.29000091846416
2026-07-30,101.4134520048883,95.19000111313916
2026-07-31,101.33966658212088,96.71000076231383
2026-08-03,98.92319398648804,94.29000030153823
2026-08-04,101.44112153842606,96.97000026560883
2026-08-05,103.34801355807144,100.28999998300259
2026-08-06,103.32956720237958,99.59999976861953
2026-08-07,103.70310590513962,99.74999936027106
2026-08-10,103.91293320113446,100.51999953033281
2026-08-12,104.45479489958265,100.74999934125815
2026-08-13,104.7384076183449,101.49999946385438
2026-08-14,105.43706334017386,102.67999988762135
2026-08-17,105.06352463741382,102.34999971638254
2026-08-18,104.78221771311304,102.41999995168858
2026-08-19,104.01669395190112,100.65000004492349
2026-08-20,103.62240309898776,99.83000046855747
2026-08-21,103.16124420669142,99.54000030699636
2026-08-24,103.39874103622404,99.66000075436646
2026-08-25,103.38260047499365,98.9600008682679
2026-08-26,103.65237842698703,99.53000057726902
2026-08-27,103.66390739929443,99.61000080113303
2026-08-28,104.55394406142638,101.17000099247966
2026-08-31,104.70151490696121,100.85000129104047
2026-09-01,104.21499227558854,100.80000086890037
2026-09-02,103.79994927252186,99.80000135628033
2026-09-03,103.25117019068921,99.05000135208786
2026-09-04,102.3588277340958,98.29000158721342
2026-09-07,102.16514099933131,98.67000154524976
2026-09-08,100.7171020775208,97.27000150762466
2026-09-09,100.13143028430447,97.15000145216473
2026-09-10,99.6449076529318,96.86000189732992
