date,fang_start_100,rakuten-nasdaq_start_100
2024-01-30,100.0,100.0
2024-01-31,99.21726704630281,100.0
2024-02-01,95.92850896837076,100.0
2024-02-02,97.17192398745921,100.91000000000001
2024-02-05,103.45511549043445,104.22
2024-02-06,103.22690724507859,104.03
2024-02-07,102.1370529144539,103.25999999999999
2024-02-08,104.14187301384179,104.50999999999999
2024-02-09,105.39808475696888,105.67999999999999
2024-02-13,106.28958986499457,106.21000000000001
2024-02-14,105.66681596178044,105.44
2024-02-15,107.64817540043082,106.46
2024-02-16,107.71855738264338,106.61
2024-02-19,106.47300957621515,105.47999999999999
2024-02-20,106.72254569496874,105.72999999999999
2024-02-21,104.67506984878538,104.78
2024-02-22,104.52150916032164,104.63
2024-02-26,109.01955765990574,107.25
2024-02-27,109.16671998635017,107.4
2024-02-28,109.53142662145157,107.54999999999998
2024-02-29,108.85533303474311,107.09
2024-03-01,107.77187706613773,107.87
2024-03-04,109.6529954998187,109.25
2024-03-05,108.80201335124875,109.05
2024-03-06,106.05071768293983,106.82000000000001
2024-03-07,105.67108153646001,106.79
2024-03-08,107.43916224113295,107.61
2024-03-11,104.24424680615097,105.24
2024-03-12,103.20771215902063,104.86999999999999
2024-03-13,105.94407831595112,106.91999999999999
2024-03-14,105.23386013180627,106.16000000000001
2024-03-15,105.60069955424744,106.50999999999999
2024-03-18,104.79877151449229,105.80000000000001
2024-03-19,106.54339155842771,106.81
2024-03-21,109.94305457802803,109.43
2024-03-22,110.29923006377034,110.5
2024-03-25,110.93693347836286,110.5
2024-03-26,110.58715635463987,110.05
2024-03-27,110.34615138524538,109.83000000000001
2024-03-28,110.19685627146116,110.22000000000001
2024-03-29,109.65512828715849,109.98000000000002
2024-04-01,109.66365943651759,110.00000000000001
2024-04-02,110.64687440015355,110.47
2024-04-03,109.36080363426963,109.33
2024-04-04,110.16699724870433,109.67
2024-04-05,108.18990338473351,107.45
2024-04-08,110.37814319534198,109.39000000000001
2024-04-09,110.7343186810843,109.48
2024-04-10,110.73005310640475,109.79
2024-04-11,111.05210399471068,109.68
