ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ïƒçëäîéÆÅiÇrÅïÇoÇTÇOÇOÅj
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2023/04/20,19874,19874,,19788.68
2023/04/21,19670,19670,,19571.34
2023/04/24,19659,19659,,19564.98
2023/04/25,19707,19707,0,19610.14
2023/04/26,19319,19319,,19235.04
2023/04/27,19233,19233,,19159.67
2023/04/28,19670,19670,,19593.41
2023/05/01,20234,20234,,20162.91
2023/05/02,20349,20349,,20283.23
2023/05/08,19826,19826,,19946.36
2023/05/09,19865,19865,,19976.50
2023/05/10,19749,19749,,19950.28
2023/05/11,19695,19695,,19904.45
2023/05/12,19731,19731,,19954.18
2023/05/15,19911,19911,,20138.75
2023/05/16,19973,19973,,20203.17
2023/05/17,19910,19910,,20155.83
2023/05/18,20317,20317,,20565.43
2023/05/19,20630,20630,,20881.37
2023/05/22,20498,20498,,20768.78
2023/05/23,20616,20616,,20862.78
2023/05/24,20407,20407,,20642.22
2023/05/25,20390,20390,,20619.55
2023/05/26,20621,20621,,20856.14
2023/05/29,21023,21023,,21271.88
2023/05/30,20948,20948,,21201.49
2023/05/31,20875,20875,,21127.44
2023/06/01,20666,20666,,20915.03
2023/06/02,20842,20842,,21095.01
2023/06/05,21327,21327,,21792.58
2023/06/06,21199,21199,,21676.93
2023/06/07,21235,21235,,21726.62
2023/06/08,21229,21229,,21722.00
2023/06/09,21232,21232,,21731.68
2023/06/12,21300,21300,,21905.19
2023/06/13,21540,21540,,22162.56
2023/06/14,21747,21747,,22414.40
2023/06/15,21819,21819,,22501.47
2023/06/16,22076,22076,,22811.85
2023/06/19,22254,22254,,23020.02
2023/06/20,22295,22295,,23071.99
2023/06/21,22099,22099,,22869.20
2023/06/22,22034,22034,,22824.04
2023/06/23,22304,22304,,23115.45
2023/06/26,22183,22183,,22995.52
2023/06/27,22105,22105,,22920.50
2023/06/28,22395,22395,,23255.82
2023/06/29,22462,22462,,23334.31
2023/06/30,22664,22664,,23557.46
2023/07/03,22867,22867,,23778.36
2023/07/04,22903,22903,,23830.34
2023/07/05,22903,22903,,24065.46
2023/07/06,22842,22842,,24001.48
2023/07/07,22618,22618,,23809.95
2023/07/10,22303,22303,,23488.38
2023/07/11,22188,22188,,23380.85
2023/07/12,22090,22090,,23397.84
2023/07/13,22061,22061,,23377.61
2023/07/14,22147,22147,,23481.87
2023/07/18,22345,22345,,23737.72
2023/07/19,22531,22531,,23947.98
2023/07/20,22691,22691,,24170.27
2023/07/21,22602,22602,,24095.34
2023/07/24,22890,22890,,24425.81
2023/07/25,22942,22942,,24491.63
2023/07/26,22930,22930,,24506.07
2023/07/27,22802,22802,,24387.37
2023/07/28,22526,22526,,24105.26
2023/07/31,22984,22984,,24610.27
2023/08/01,23260,23260,,24931.01
2023/08/02,23326,23326,,25031.30
2023/08/03,23042,23042,,24941.07
2023/08/04,22890,22890,,24792.85
2023/08/07,22582,22582,,24466.69
2023/08/08,23004,23004,,24941.51
2023/08/09,22973,22973,,24942.00
2023/08/10,22892,22892,,24977.54
2023/08/14,23061,23061,,25173.27
2023/08/15,23273,23273,,25433.65
2023/08/16,23027,23027,,25181.49
2023/08/17,22977,22977,,25172.36
2023/08/18,22682,22682,,24857.99
2023/08/21,22621,22621,,24805.99
2023/08/22,22924,22924,,25142.71
2023/08/23,22774,22774,,25000.22
2023/08/24,22890,22890,,25140.81
2023/08/25,22795,22795,,25049.14
2023/08/28,23001,23001,,25305.38
2023/08/29,23143,23143,,25487.71
2023/08/30,23402,23402,,25802.83
2023/08/31,23519,23519,,25938.60
2023/09/01,23411,23411,,25822.62
2023/09/04,23541,23541,,25978.36
2023/09/05,23587,23587,,26249.19
2023/09/06,23698,23698,,26372.08
2023/09/07,23547,23547,,26252.91
2023/09/08,23327,23327,,26016.51
2023/09/11,23354,23354,,26066.28
2023/09/12,23472,23472,,26327.36
2023/09/13,23434,23434,,26328.58
2023/09/14,23439,23439,,26354.68
2023/09/15,23715,23715,,26679.55
2023/09/19,23462,23462,,26441.34
2023/09/20,23428,23428,,26434.11
2023/09/21,23302,23302,,26321.86
2023/09/22,22803,22803,,25785.06
2023/09/25,22878,22878,,25892.74
2023/09/26,23041,23041,,26093.54
2023/09/27,22722,22722,,25792.57
2023/09/28,22814,22814,,25919.20
2023/09/29,22940,22940,,26084.77
2023/10/02,22911,22911,,26073.84
2023/10/03,22932,22932,,26117.70
2023/10/04,22526,22526,,25902.97
2023/10/05,22644,22644,,26059.88
2023/10/06,22600,22600,,26020.36
2023/10/10,22991,22991,,26496.55
2023/10/11,23120,23120,,26661.68
2023/10/12,23314,23314,,27056.79
2023/10/13,23276,23276,,27037.02
2023/10/16,23107,23107,,26863.40
2023/10/17,23350,23350,,27159.46
2023/10/18,23389,23389,,27272.41
2023/10/19,23079,23079,,26928.95
2023/10/20,22897,22897,,26727.22
2023/10/23,22599,22599,,26386.79
2023/10/24,22542,22542,,26345.84
2023/10/25,22741,22741,,26609.25
2023/10/26,22458,22458,,26307.41
2023/10/27,22207,22207,,26048.12
2023/10/30,22025,22025,,25852.22
2023/10/31,22238,22238,,26121.60
2023/11/01,22677,22677,,26659.33
2023/11/02,22787,22787,,26808.16
2023/11/06,23291,23291,,27641.83
2023/11/07,23400,23400,,27802.14
2023/11/08,23555,23555,,28026.91
2023/11/09,23644,23644,,28131.93
2023/11/10,23511,23511,,28099.37
2023/11/13,23925,23925,,28587.15
2023/11/14,23916,23916,,28589.14
2023/11/15,24197,24197,,28942.94
2023/11/16,24350,24350,,29119.09
2023/11/17,24291,24291,,29114.01
2023/11/20,24191,24191,,28996.20
2023/11/21,24084,24084,,28870.07
2023/11/22,24064,24064,,28862.22
2023/11/24,24370,24370,,29241.45
2023/11/27,24367,24367,,29246.73
2023/11/28,24097,24097,,28942.79
2023/11/29,23924,23924,,28759.19
2023/11/30,23926,23926,,28778.15
2023/12/01,24155,24155,,29063.81
2023/12/04,24055,24055,,28958.75
2023/12/05,24048,24048,,29180.28
2023/12/06,24054,24054,,29218.57
2023/12/07,23946,23946,,29103.27
2023/12/08,23497,23497,,28566.28
2023/12/11,23948,23948,,29128.94
2023/12/12,24121,24121,,29490.05
2023/12/13,24191,24191,,29625.42
2023/12/14,23993,23993,,29401.04
2023/12/15,24063,24063,,29492.77
2023/12/18,24010,24010,,29468.43
2023/12/19,24203,24203,,29752.26
2023/12/20,24575,24575,,30230.21
2023/12/21,24124,24124,,29686.53
2023/12/22,24179,24179,,29768.33
2023/12/25,24198,24198,,29784.83
2023/12/26,24207,24207,,29816.99
2023/12/27,24398,24398,,30052.60
2023/12/28,24272,24272,,29957.89
2023/12/29,24281,24281,,29987.73
2024/01/04,24154,24154,,29853.19
2024/01/05,24342,24342,,30121.30
2024/01/09,24552,24552,,31040.18
2024/01/10,24639,24639,,31269.00
2024/01/11,24944,24944,,31886.40
2024/01/12,24871,24871,,31877.25
2024/01/15,24865,24865,,31923.77
2024/01/16,24992,24992,,32148.69
2024/01/17,25160,25160,,32364.58
2024/01/18,25159,25159,,32532.43
2024/01/19,25369,25369,,32863.73
2024/01/22,25685,25685,,33353.25
2024/01/23,25732,25732,,33459.68
2024/01/24,25811,25811,,33677.57
2024/01/25,25779,25779,,33695.10
2024/01/26,25888,25888,,33893.51
2024/01/29,25967,25967,,34075.42
2024/01/30,26010,26010,,34181.68
2024/01/31,26026,26026,,34313.76
2024/02/01,25486,25486,,33652.18
2024/02/02,25741,25741,,34048.31
2024/02/05,26421,26421,,35312.28
2024/02/06,26324,26324,,35277.57
2024/02/07,26244,26244,,35259.42
2024/02/08,26509,26509,,35665.85
2024/02/09,26773,26773,,36079.48
2024/02/13,26879,26879,,36418.95
2024/02/14,26743,26743,,36276.65
2024/02/15,26969,26969,,36736.66
2024/02/16,27091,27091,,36957.55
2024/02/19,26922,26922,,36853.80
2024/02/20,26985,26985,,37003.39
2024/02/21,26785,26785,,36728.73
2024/02/22,26889,26889,,37030.94
2024/02/26,27433,27433,,37828.55
2024/02/27,27385,27385,,37813.05
2024/02/28,27403,27403,,37955.82
2024/02/29,27391,27391,,37975.42
2024/03/01,27473,27473,,38143.92
2024/03/04,27652,27652,,38435.54
2024/03/05,27683,27683,,38841.50
2024/03/06,27335,27335,,38484.30
2024/03/07,27288,27288,,38481.69
2024/03/08,27358,27358,,38632.05
2024/03/11,26990,26990,,38167.02
2024/03/12,26964,26964,,38331.18
2024/03/13,27393,27393,,39011.69
2024/03/14,27370,27370,,39006.53
2024/03/15,27466,27466,,39173.91
2024/03/18,27422,27422,,39171.56
2024/03/19,27588,27588,,39472.76
2024/03/21,28277,28277,,40509.83
2024/03/22,28519,28519,,40876.92
2024/03/25,28450,28450,,40837.71
2024/03/26,28344,28344,,40709.77
2024/03/27,28310,28310,,40747.71
2024/03/28,28548,28548,,41140.36
2024/03/29,28559,28559,,41201.61
2024/04/01,28563,28563,,41244.44
2024/04/02,28567,28567,,41250.78
2024/04/03,28332,28332,,41348.87
2024/04/04,28391,28391,,41526.25
2024/04/05,27905,27905,,40860.72
2024/04/08,28366,28366,,41579.77
2024/04/09,28390,28390,,41672.25
2024/04/10,28404,28404,,41962.06
2024/04/11,28356,28356,,41922.61
2024/04/12,28582,28582,,42310.09
2024/04/15,28238,28238,,41827.09
2024/04/16,28072,28072,,41635.48
2024/04/17,28082,28082,,41714.07
2024/04/18,27860,27860,,41405.28
2024/04/19,27854,27854,,41452.55
2024/04/22,27617,27617,,41119.41
2024/04/23,27868,27868,,41502.07
2024/04/24,28203,28203,,42056.57
2024/04/25,28331,28331,0,42287.89
2024/04/26,28243,28243,,42206.91
2024/04/30,28832,28832,,43130.53
2024/05/01,28573,28573,,42770.70
2024/05/02,28145,28145,,42203.70
2024/05/07,28681,28681,,43411.58
2024/05/08,28878,28878,,43785.96
2024/05/09,29008,29008,,44082.79
2024/05/10,29170,29170,,44544.06
2024/05/13,29274,29274,,44726.45
2024/05/14,29339,29339,,44870.98
2024/05/15,29516,29516,,45178.97
2024/05/16,29373,29373,,44979.43
2024/05/17,29629,29629,,45439.99
2024/05/20,29728,29728,,45638.50
2024/05/21,29868,29868,,45899.91
2024/05/22,29912,29912,,46071.87
2024/05/23,29944,29944,,46155.83
2024/05/24,29769,29769,,45920.37
2024/05/27,29922,29922,,46200.06
2024/05/28,29935,29935,,46264.67
2024/05/29,30031,30031,,46412.78
2024/05/30,29851,29851,,46272.94
2024/05/31,29510,29510,,45772.75
2024/06/03,29833,29833,,46306.45
2024/06/04,29734,29734,,46184.77
