date,rakuten-vti_start_100,sbi-nasdaq_start_100
2026-05-21,100.0,100.0
2026-05-22,100.3896222955629,100.0
2026-05-25,100.67840117345068,100.27
2026-05-26,100.74944994499451,100.35000041950002
2026-05-27,101.67766776677666,102.28000086906812
2026-05-28,101.86101943527686,102.40000088008773
2026-05-29,102.32169050238357,103.08000139793208
2026-06-01,102.60817748441511,103.50000189442794
2026-06-02,103.03676200953429,104.3100022242539
2026-06-03,103.44930326365971,104.9600027014142
2026-06-04,102.70214521452145,104.65000228383555
2026-06-05,103.21094609460945,104.15000236342378
2026-06-08,100.65777411074441,99.41000244386132
2026-06-09,100.92363403006968,100.93000225732848
2026-06-10,100.77924459112577,99.88000221134494
2026-06-11,99.31930693069307,98.0100018663431
2026-06-12,100.78382838283828,100.95000201172768
2026-06-15,101.3499266593326,101.61000202038014
2026-06-16,103.12156215621562,104.79000185291021
2026-06-17,102.64026402640265,102.94000143579827
2026-06-18,101.58140814081409,102.14000115583993
2026-06-19,102.98634030069674,104.90000068927272
2026-06-22,103.26136780344702,105.18000082011253
2026-06-23,102.94966996699671,105.00000102570904
2026-06-24,101.54244591125779,101.57000064220252
2026-06-25,101.62495416208289,101.22000057698955
2026-06-26,101.7670517051705,102.03000047300684
2026-06-29,101.4461862852952,100.8300001299437
2026-06-30,103.21782178217822,103.49999970768462
2026-07-01,104.25605060506051,105.45999990214898
2026-07-02,103.99019068573526,103.79999939148922
2026-07-03,102.96342134213421,101.2499998204382
2026-07-06,103.16281628162815,101.43999949510125
2026-07-07,104.33626696002933,103.07999924053846
2026-07-08,103.90309864319764,101.40999914204252
2026-07-09,103.63265493215988,101.78999863442762
2026-07-10,104.27438577191053,103.18999893554579
2026-07-13,104.61587825449212,103.50999937744483
2026-07-14,103.93289328932893,101.69999972103099
2026-07-15,104.21021268793547,102.7099997072605
2026-07-16,104.59525119178585,102.44999961400154
2026-07-17,104.2652181884855,100.9699997480777
2026-07-21,103.07114044737806,99.52999994147054
2026-07-22,104.3912724605794,101.86000022600035
2026-07-23,104.17125045837916,101.26000000626911
2026-07-24,103.55243857719105,99.90000023598492
2026-07-27,103.37825449211589,98.56000057381956
2026-07-28,103.56848184818482,98.33000095648049
2026-07-29,103.71516318298497,97.29000091846416
2026-07-30,102.02374404107077,95.19000111313916
2026-07-31,101.90914924825816,96.71000076231383
2026-08-03,99.30555555555556,94.29000030153823
2026-08-04,101.87935460212687,96.97000026560883
2026-08-05,103.87330399706639,100.28999998300259
2026-08-06,103.70599559955996,99.59999976861953
2026-08-07,104.10478547854784,99.74999936027106
2026-08-10,104.41189952328567,100.51999953033281
2026-08-12,105.02841950861752,100.74999934125815
2026-08-13,105.36074440777412,101.49999946385438
2026-08-14,106.05518885221856,102.67999988762135
2026-08-17,105.72286395306196,102.34999971638254
2026-08-18,105.50742574257426,102.41999995168858
2026-08-19,104.60900256692337,100.65000004492349
2026-08-20,104.24459112577924,99.83000046855747
2026-08-21,103.74037403740375,99.54000030699636
2026-08-24,103.98102310231023,99.66000075436646
2026-08-25,103.93289328932893,98.9600008682679
2026-08-26,104.16208287495417,99.53000057726902
2026-08-27,104.2170883755042,99.61000080113303
2026-08-28,105.02383571690504,101.17000099247966
2026-08-31,105.07884121745508,100.85000129104047
2026-09-01,104.6021268793546,100.80000086890037
2026-09-02,104.09561789512284,99.80000135628033
2026-09-03,103.54097909790978,99.05000135208786
2026-09-04,102.65401540154015,98.29000158721342
2026-09-07,102.50733406674,98.67000154524976
2026-09-08,101.05427209387605,97.27000150762466
2026-09-09,100.48588192152548,97.15000145216473
2026-09-10,99.9381188118812,96.86000189732992
