date,rakuten-orcan_start_100,invesco_start_100
2023-10-27,100.0,100.0
2023-10-30,99.18379685610641,99.02439
2023-10-31,100.0,99.59547851078851
2023-11-01,101.72309552599759,101.45151694135551
2023-11-02,102.21684804514308,101.71326591312486
2023-11-06,104.67553405884725,104.28316447814514
2023-11-07,105.02821442966545,104.30695981061575
2023-11-08,105.39097138250706,104.60440153721169
2023-11-09,105.73357517130188,104.79476481130519
2023-11-10,105.40104796453042,105.48482995400646
2023-11-13,106.590084643289,106.0202255923761
2023-11-14,106.78153970173317,106.38905405417813
2023-11-15,108.29302700523982,108.49494345960898
2023-11-16,109.04877065699314,109.49434897108488
2023-11-17,108.56509471987101,108.61392024021723
2023-11-20,108.36356307940346,108.73289701458756
2023-11-21,107.92019347037484,108.05472884857863
2023-11-22,107.76904474002419,107.81677504689743
2023-11-24,109.00846432889963,109.42296143697786
2023-11-27,109.04877065699314,109.60438580126997
2023-11-28,107.92019347037484,108.41908122750456
2023-11-29,107.23498589278518,107.86271353351427
2023-11-30,107.3055219669488,108.37070161191744
2023-12-01,108.17210802095929,109.44715212585668
2023-12-04,107.75896815800081,109.01173414266829
2023-12-05,107.66827891979041,109.39877267392045
2023-12-06,107.7186618299073,109.02382916634738
2023-12-07,107.36598145908907,109.1205889049708
2023-12-08,105.15920999596938,106.58065006455959
2023-12-11,107.0838371624345,108.79402534574129
2023-12-12,107.78919790407093,110.05189969090824
2023-12-13,107.95042321644499,110.1970394377776
2023-12-14,106.96291817815397,109.03592519036319
2023-12-15,107.6783555018138,110.74131248189558
2023-12-18,107.19467956469167,110.1728496395979
2023-12-19,107.91011688835148,110.81388155139793
2023-12-20,109.63321241434905,112.51926840361538
2023-12-21,107.83958081418783,111.12835021531725
2023-12-22,108.07134220072552,111.12835021531725
2023-12-25,108.08141878274888,111.28558460675339
2023-12-26,108.16203143893593,111.39624365351881
2023-12-27,109.03869407496978,112.20773966739866
2023-12-28,108.74647319629183,112.28151176792038
2023-12-29,108.73639661426844,111.96183170732058
2024-01-04,108.04111245465538,110.49867978240151
2024-01-05,109.10923014913341,111.75280996328823
2024-01-09,109.62313583232569,111.40853866927483
2024-01-10,109.84482063683998,111.5069012680659
2024-01-11,111.04393389762193,112.37987430219643
2024-01-12,110.75171301894397,111.83887758730566
2024-01-15,110.89278516727126,112.17085340120316
2024-01-16,111.2353889560661,112.30610228598314
2024-01-17,111.55783958081417,112.662668545436
2024-01-18,111.3260781942765,112.33069334641999
2024-01-19,112.14228133817011,113.04382587643669
2024-01-22,113.32124143490528,113.81843495405153
2024-01-23,113.47239016525594,114.297955435066
2024-01-24,113.70415155179363,114.51040561675141
2024-01-25,113.86537686416767,114.3104532719837
2024-01-26,114.0769850866586,114.47291471748746
