date,rakuten-vti_start_100,rakuten-nasdaq_start_100
2024-01-30,100.0,100.0
2024-01-31,99.9773985761103,100.0
2024-02-01,97.83026330658832,100.0
2024-02-02,98.9038309413493,100.91000000000001
2024-02-05,101.28828116171317,104.22
2024-02-06,100.75714770030513,104.03
2024-02-07,100.55373488529777,103.25999999999999
2024-02-08,101.53312992051833,104.50999999999999
2024-02-09,102.72723848269108,105.67999999999999
2024-02-13,103.35254454363958,106.21000000000001
2024-02-14,102.57656232342637,105.44
2024-02-15,103.574791878555,106.46
2024-02-16,104.21139865144838,106.61
2024-02-19,103.5069876068859,105.47999999999999
2024-02-20,103.74430255772779,105.72999999999999
2024-02-21,102.94195200964327,104.78
2024-02-22,103.23200361622781,104.63
2024-02-26,105.20962820657702,107.25
2024-02-27,105.0966210871285,107.4
2024-02-28,105.27743247824613,107.54999999999998
2024-02-29,105.21716201454025,107.09
2024-03-01,105.41304102158435,107.87
2024-03-04,106.21915847365051,109.25
2024-03-05,106.3510001130071,109.05
2024-03-06,104.96477944777187,106.82000000000001
2024-03-07,104.86683994424982,106.79
2024-03-08,105.06648585527556,107.61
2024-03-11,103.72546803781972,105.24
2024-03-12,103.57855878253663,104.86999999999999
2024-03-13,105.08532037518363,106.91999999999999
2024-03-14,105.0589520473123,106.16000000000001
2024-03-15,105.29626699815422,106.50999999999999
2024-03-18,105.1832598787057,105.80000000000001
2024-03-19,105.68802501224243,106.81
2024-03-21,108.45293253474968,109.43
2024-03-22,109.47376351376803,110.5
2024-03-25,109.01420122801069,110.5
2024-03-26,108.69778129355483,110.05
2024-03-27,108.67517986966513,109.83000000000001
2024-03-28,109.59430444117979,110.22000000000001
2024-03-29,109.58300372923495,109.98000000000002
2024-04-01,109.59807134516142,110.00000000000001
2024-04-02,109.75251440840772,110.47
2024-04-03,108.6262101179041,109.33
2024-04-04,108.89366030059892,109.67
2024-04-05,107.05917806155121,107.45
2024-04-08,108.7128489094813,109.39000000000001
2024-04-09,108.96899838023128,109.48
2024-04-10,109.00666742004745,109.79
2024-04-11,108.63751082984894,109.68
2024-04-12,109.43232756997023,111.53999999999999
2024-04-15,108.11391117640412,109.96
2024-04-16,107.45470297962105,108.82000000000001
2024-04-17,107.38689870795193,109.11999999999999
2024-04-18,106.53181150412476,107.53999999999999
2024-04-19,106.51674388819829,107.13999999999999
2024-04-22,105.70685953215053,104.96000000000001
2024-04-23,106.7766602629299,106.06
2024-04-24,108.05364071269823,107.66
2024-04-25,108.54710513429013,108.47
2024-04-26,108.19301616001809,108.04
2024-04-30,110.43055712509889,111.03
2024-05-01,109.35322258635627,109.64
2024-05-02,107.8125588578747,107.61
2024-05-07,109.95216031943346,110.96
2024-05-08,110.65280446001431,111.55999999999999
2024-05-09,111.07469770595549,112.02000000000001
2024-05-10,111.76404113459148,112.25
2024-05-13,112.0691603571025,112.75999999999999
2024-05-14,112.40064790748482,113.27000000000001
2024-05-15,113.07115681621276,114.16999999999999
2024-05-16,112.56639168267601,113.97999999999999
2024-05-17,113.45914792631935,114.97
2024-05-20,113.86220665235243,115.13
2024-05-21,114.40087392172373,116.36
2024-05-22,114.5214148491355,116.49000000000001
2024-05-23,114.55908388895166,116.88000000000001
2024-05-24,113.76050024484876,116.55
2024-05-27,114.3707386898708,117.48
2024-05-28,114.41970844163183,117.53
2024-05-29,114.75496289599579,118.27000000000001
2024-05-30,113.97144686781935,117.6
2024-05-31,112.78110520962821,115.71000000000001
2024-06-03,113.96767996383772,116.03000000000002
2024-06-04,113.4892831581723,115.9
2024-06-05,112.63042905036352,115.36999999999999
2024-06-06,114.35943797792594,118.09
2024-06-07,114.28033299431198,118.03999999999999
2024-06-10,114.94330809507665,118.83999999999999
2024-06-11,115.56484725204355,119.55
2024-06-12,115.67032056352883,120.30000000000001
2024-06-13,116.5216408633744,121.64999999999999
2024-06-14,116.89079745357292,122.66
2024-06-17,116.96236862922365,123.39
2024-06-18,118.0095679361133,125.07999999999998
2024-06-19,118.47289712585227,125.28999999999999
2024-06-20,118.62357328511696,125.44999999999999
2024-06-21,119.03039891513166,125.2
2024-06-24,119.4259238332015,125.49
2024-06-25,118.98519606735225,123.82
2024-06-26,119.54269785663163,125.42
2024-06-27,120.28854484499189,126.52000000000001
2024-06-28,120.78954307454704,126.99000000000001
2024-07-01,120.45428862018308,126.44
2024-07-02,121.05699325724186,127.64999999999999
2024-07-03,121.68229931819039,128.85999999999999
2024-07-04,122.07782423626021,129.88
2024-07-05,121.84804309338155,129.63
2024-07-08,122.1795306437639,130.64
2024-07-09,122.4808829622933,131.09
2024-07-10,122.90654311221607,131.67
2024-07-11,124.23626021772705,133.25
2024-07-12,121.67099860624553,128.16
2024-07-16,122.48464986627492,128.72
2024-07-17,123.57328511696237,128.88
2024-07-18,119.75741138358383,122.96000000000001
2024-07-19,119.95705729460957,123.66
2024-07-22,119.24134553810224,122.56
2024-07-23,119.87418540701398,123.8
2024-07-24,119.12080461069048,122.69000000000001
2024-07-25,114.56285079293329,116.31
2024-07-26,114.69469243228988,115.64000000000001
2024-07-29,115.78332768297737,116.55
2024-07-30,116.03571024974573,117.02
2024-07-31,114.31800203412814,114.16999999999999
2024-08-01,113.86597355633405,115.44000000000001
2024-08-02,112.01265679737824,112.55
2024-08-05,106.78419407089312,106.89999999999999
2024-08-06,103.29980788789695,103.39
2024-08-07,105.8311673635439,105.91999999999999
2024-08-08,104.41857837043733,104.10999999999999
2024-08-09,107.93309978528647,108.35999999999999
2024-08-13,108.09130975251439,108.89999999999999
2024-08-14,109.72614608053641,111.46000000000001
2024-08-15,110.23844502203639,111.75
2024-08-16,113.47044863826422,115.87
2024-08-19,112.82630805740762,115.07000000000001
2024-08-20,112.75096997777527,115.41999999999999
2024-08-21,111.82431159829736,114.49000000000001
2024-08-22,112.23867103627529,114.94
2024-08-23,111.94861942969074,113.69
2024-08-26,111.25927600105474,112.88
2024-08-27,111.98252156552529,112.72999999999999
2024-08-28,111.62843259125326,112.63000000000001
2024-08-29,111.14626888160622,111.52
