date,rakuten-nasdaq_start_100,sbi-nasdaq_start_100
2026-05-21,100.0,100.0
2026-05-22,100.35846129153067,100.0
2026-05-25,100.60456904392487,100.27
2026-05-26,100.6741212348189,100.35000041950002
2026-05-27,102.64833342250282,102.28000086906812
2026-05-28,102.76603713016961,102.40000088008773
2026-05-29,103.4508587020491,103.08000139793208
2026-06-01,103.87352201594351,103.50000189442794
2026-06-02,104.68674763255041,104.3100022242539
2026-06-03,105.33946819324808,104.9600027014142
2026-06-04,105.03450858702048,104.65000228383555
2026-06-05,104.53159274517148,104.15000236342378
2026-06-08,99.7592424161361,99.41000244386132
2026-06-09,101.300090952865,100.93000225732848
2026-06-10,100.24075758386388,99.88000221134494
2026-06-11,98.35214809266492,98.0100018663431
2026-06-12,101.32149162698624,100.95000201172768
2026-06-15,101.97421218768392,101.61000202038014
2026-06-16,105.17361296880851,104.79000185291021
2026-06-17,103.30640415173077,102.94000143579827
2026-06-18,102.50387887218449,102.14000115583993
2026-06-19,105.27526617088438,104.90000068927272
2026-06-22,105.55882510299075,105.18000082011253
2026-06-23,105.37691937296026,105.00000102570904
2026-06-24,101.92606067091113,101.57000064220252
2026-06-25,101.58364988497138,101.22000057698955
2026-06-26,102.3968755015783,102.03000047300684
2026-06-29,101.18238724519821,100.8300001299437
2026-06-30,103.8681718474132,103.49999970768462
2026-07-01,105.84773420362741,105.45999990214898
2026-07-02,104.16778128511048,103.79999939148922
2026-07-03,101.61040072762293,101.2499998204382
2026-07-06,101.80835696324435,101.43999949510125
2026-07-07,103.45620887057943,103.07999924053846
2026-07-08,101.77090578353219,101.40999914204252
2026-07-09,102.15611791771441,101.78999863442762
2026-07-10,103.5578620726553,103.18999893554579
2026-07-13,103.88957252153443,103.50999937744483
2026-07-14,102.07051522122947,101.69999972103099
2026-07-15,103.08704724198812,102.7099997072605
2026-07-16,102.824888984003,102.44999961400154
2026-07-17,101.3428923011075,100.9699997480777
2026-07-21,99.89299662939382,99.52999994147054
2026-07-22,102.22567010860841,101.86000022600035
2026-07-23,101.62110106468354,101.26000000626911
2026-07-24,100.25680808945481,99.90000023598492
2026-07-27,98.91391578834732,98.56000057381956
2026-07-28,98.67850837301376,98.33000095648049
2026-07-29,97.63522550960356,97.29000091846416
2026-07-30,95.52190894013162,95.19000111313916
2026-07-31,97.04670697126959,96.71000076231383
2026-08-03,94.63913113263068,94.29000030153823
2026-08-04,97.32491573484565,96.97000026560883
2026-08-05,100.65272056069767,100.28999998300259
2026-08-06,99.96254882028785,99.59999976861953
2026-08-07,100.11235353913648,99.74999936027106
2026-08-10,100.87742763897063,100.51999953033281
2026-08-12,101.11283505430421,100.74999934125815
2026-08-13,101.86185864854743,101.49999946385438
2026-08-14,103.04424589374565,102.67999988762135
2026-08-17,102.71253544486652,102.34999971638254
2026-08-18,102.79278797282115,102.41999995168858
2026-08-19,101.02188218928896,100.65000004492349
2026-08-20,100.20330640415173,99.83000046855747
2026-08-21,99.90369696645445,99.54000030699636
2026-08-24,100.02675084265154,99.66000075436646
2026-08-25,99.31517842812049,98.9600008682679
2026-08-26,99.88764646086352,99.53000057726902
2026-08-27,99.97324915734845,99.61000080113303
2026-08-28,101.5354983681986,101.17000099247966
2026-08-31,101.21983842491038,100.85000129104047
2026-09-01,101.16098657107699,100.80000086890037
2026-09-02,100.16050505590925,99.80000135628033
2026-09-03,99.40078112460542,99.05000135208786
2026-09-04,98.6464073618319,98.29000158721342
2026-09-07,99.03696966454444,98.67000154524976
2026-09-08,97.62987534107324,97.27000150762466
2026-09-09,97.51217163340645,97.15000145216473
2026-09-10,97.21791236423948,96.86000189732992
