date,emaxis-sp_start_100,rakuten-vti_start_100
2023-09-11,100.0,100.0
2023-09-12,100.50526676372355,100.45723394437687
2023-09-13,100.34255373811767,100.37333780779396
2023-09-14,100.36396334675001,100.28944167121104
2023-09-15,101.54577374325598,101.45140316288435
2023-09-19,100.46244754645886,100.33977935316078
2023-09-20,100.31686220775885,100.15940265950753
2023-09-21,99.77734007022352,99.6686102604975
2023-09-22,97.64066112871457,97.46214186836696
2023-09-25,97.96180525819989,97.7977264146986
2023-09-26,98.65975849961463,98.48567473467847
2023-09-27,97.29382546887044,97.15172616301018
2023-09-28,97.68776226770575,97.62154452787449
2023-09-29,98.22728440524108,98.21720709761316
2023-10-02,98.10310867517342,98.07038885859306
2023-10-03,98.1930290314293,98.02424598347245
2023-10-04,96.45456881048214,96.20789462645246
2023-10-05,96.9598355742057,96.627375309367
2023-10-06,96.77143101824099,96.4973362976635
2023-10-10,98.44566241329107,98.1668694156634
2023-10-11,98.99803031600582,98.80867486052267
2023-10-12,99.82872313094117,99.59729854440204
2023-10-13,99.66601010533527,99.24493477075382
2023-10-16,98.9423653335617,98.4605058937036
2023-10-17,99.98287231309412,99.59729854440204
2023-10-18,100.14986726042648,99.89512982927137
2023-10-19,98.82247152522052,98.43953185955787
2023-10-20,98.04316177100283,97.56281723226645
2023-10-23,96.76714909651452,96.30856999035194
2023-10-24,96.52307955810568,95.96459583036201
2023-10-25,97.37518198167338,96.83711565082427
2023-10-26,96.16339813308213,95.58286840890977
2023-10-27,95.08863577973796,94.64742648601032
2023-10-30,94.30932602552026,93.8168547338395
2023-10-31,95.22137535325854,94.67679013381434
2023-11-01,97.10113899117924,96.53089475229666
2023-11-02,97.57215038109103,96.95037543521121
2023-11-06,99.73023893123234,99.36658416879902
2023-11-07,100.19696839941766,99.68958429464323
2023-11-08,100.86066626702063,100.36075338730652
2023-11-09,101.24175730067655,100.62083141071354
2023-11-10,100.67226171105592,99.9916103863417
2023-11-13,102.44497730581486,101.66533831117077
2023-11-14,102.40644001027661,101.64436427702503
2023-11-15,103.60966001541492,103.14191031502999
2023-11-16,104.26479403956496,103.85922228281387
2023-11-17,104.01216065770318,103.39359872477874
2023-11-20,103.58396848505609,103.09576743990941
2023-11-21,103.12580286032372,102.65531272284912
2023-11-22,103.04016442579429,102.49171525651244
